rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.19,허*정,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.샤오미 20W 울트라 슬림 보조배터리 5000mah C타입✔️휴대성 굿일단 미니멀하고 심플한 디자인이 마음에 들어요. 샤오미의 보조배터리는 정말 세련되고 깔끔하더라고요. 슬림한 사이즈라 주머니나 가방에 쏙 들어가서 휴대하기가 너무 편해요~ 여행하거나 이동할 때, 이런 작고 가벼운 크기의 보조배터리가 진짜 유용하더라고요. 성인여자손에 쏙 들어와요.✔️충전 속도이 보조배터리는 최대 20W의 출력으로 빠른 충전이 가능해서 특히 급하게 외출해야 할 때 좋아요. 바쁜 현대인들에게 딱 맞는 아이템인 것 같아요!✔️실제 사용후 느낀점5000mAh라는 용량은 개인적인 사용에는 딱 좋은 수준이라고 느꼈어요. 평소 생활에서 사용하는 데 전혀 불편함 없고, 특히 여행 갈 때나 장시간 외출 시에도 안심하고 사용할 수 있는 용량이라서 만족스러웠답니다!✔️다양한 기기와 호환성또 하나 매력적인 점은 다양한 기기와의 호환성이었어요! C타입 포트를 사용하는 모든 기기에 호환된다고 하니, 활용도가 높아서 유용했어요. 요즘 C타입 포트를 사용하는 기기가 많아지고 있는데 그런 부분에서 미리 준비된 느낌이라 더 안심하게 쓸 수 있습니다.✔️총평디자인, 성능, 안정성 모두 높은 점수를 줄 수 있겠네요. 진짜 많은 분들이 만족할 만한 아이템이라고 생각해서 추천해요.","쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
샤오미 20W 울트라 슬림 보조배터리 5000mah C타입
✔️휴대성 굿
일단 미니멀하고 심플한 디자인이 마음에 들어요. 샤오미의 보조배터리는 정말 세련되고 깔끔하더라고요. 슬림한 사이즈라 주머니나 가방에 쏙 들어가서 휴대하기가 너무 편해요~ 여행하거나 이동할 때, 이런 작고 가벼운 크기의 보조배터리가 진짜 유용하더라고요. 성인여자손에 쏙 들어와요.
✔️충전 속도
이 보조배터리는 최대 20W의 출력으로 빠른 충전이 가능해서 특히 급하게 외출해야 할 때 좋아요. 바쁜 현대인들에게 딱 맞는 아이템인 것 같아요!
✔️실제 사용후 느낀점
5000mAh라는 용량은 개인적인 사용에는 딱 좋은 수준이라고 느꼈어요. 평소 생활에서 사용하는 데 전혀 불편함 없고, 특히 여행 갈 때나 장시간 외출 시에도 안심하고 사용할 수 있는 용량이라서 만족스러웠답니다!
✔️다양한 기기와 호환성
또 하나 매력적인 점은 다양한 기기와의 호환성이었어요! C타입 포트를 사용하는 모든 기기에 호환된다고 하니, 활용도가 높아서 유용했어요. 요즘 C타입 포트를 사용하는 기기가 많아지고 있는데 그런 부분에서 미리 준비된 느낌이라 더 안심하게 쓸 수 있습니다.
✔️총평
디자인, 성능, 안정성 모두 높은 점수를 줄 수 있겠네요. 진짜 많은 분들이 만족할 만한 아이템이라고 생각해서 추천해요.",,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/19/3522801814867195607/872e407b-25df-4a17-bab3-e862f6f0803b.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/19/3522801814867195607/9297e9a3-8eda-4259-aad9-068b20f95429.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/19/3522801814867195607/0e7d5e62-2f89-4ddf-8bac-0c330460e63e.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/19/3522801814867195607/02d15c08-1a5d-46a9-96bb-d1b5e212613e.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/19/3522801814867195607/408a9dcd-3342-48e7-a1c4-606f7a1c0fa0.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/19/3522801814867195607/7a0b88a6-6f29-4b4c-afd9-2ad98fdf2a72.jpg"
2,5,2025.06.28,문*경,가볍고 슬림해서 예쁜 보조배터리!,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
제품명
샤오미 20W 울트라 슬림 보조배터리, 5000mAh, C타입
구매 계기
1) 외출 후 스마트폰 사용량이 늘어나면서 밤에는 배터리 걱정이 많아졌는데, 얇고 가벼운 보조배터리가 필요해서 찾다가 샤오미 울트라 슬림 보조배터리가 눈에 들어왔어요.
2) 5000mAh 용량이라 가볍게 하루 버틸 수 있을 것 같고 ‘20W 고속충전 지원’이라는 점이 매력적이었어요.
3) C타입 단자라 최신 휴대폰이나 태블릿, 이어폰까지 호환이 잘 될 것 같아서 선택했어요.
⚙️ 디자인 & 휴대성
1) 두께가 정말 얇고 무게도 135g 정도라 주머니나 작은 가방에 넣어도 부담 없었어요.
2) 무광 메탈 느낌의 실버 컬러가 고급스럽고, 스크래치에도 강한 느낌이라 실용적이었어요.
3) 단자와 상태 표시 LED가 깔끔하게 배열돼 있어서 사용 중에도 깔끔한 디자인을 유지했어요.
4) 크기가 컴팩트해 손에 쥐면 딱 안정적으로 잡히고, 파우치 없이도 휴대하기 좋았어요.
충전 성능
1) 20W 출력이라 제 아이폰과 최신 안드로이드 중급 스마트폰을 연결했을 때 30분 만에 60% 이상 충전돼서 꽤 만족스러웠어요.
2) C타입 인/아웃 모두 지원해서 USB-A를 찾지 않아도 되고, 케이블 하나로 모든 게 해결돼요.
3) PD 및 QC 호환 충전 프로토콜도 지원돼서 노트북이나 태블릿 간헐적 충전도 시도해봤는데, 무난하게 충전이 되었어요.
4) 과전압, 과충전 보호 회로도 내장돼 있어서 안정적인 충전이 가능했어요.
장점
1) 얇고 가벼워 휴대성이 뛰어남
2) 20W 고속충전으로 꽤 빠른 충전 속도
3) C타입 인/아웃 단자 하나로 간편하게 사용 가능
4) 고급스러운 디자인과 스크래치 방지 마감
5) 안정적인 보호 회로 내장으로 안심하고 사용 가능
단점
1) 용량이 5000mAh라 대용량 배터리를 원하는 사용자에겐 짧게 느껴질 수 있음
2) 무광 마감이라 지문 또는 먼지가 쉽게 묻을 수 있어서 자주 닦아줘야 해요
총평
샤오미 20W 울트라 슬림 보조배터리는 **얇고 가볍고, 빠른 충전을 지원하며 휴대성과 실용성을 모두 만족시키는 보조배터리**예요. 데일리 외출이나 출퇴근, 짧은 여행에 안성맞춤이고, 무게 부담 없이 가볍게 들고 다니기 좋습니다. 다만 대용량을 원한다면 10000mAh 이상이 필요할 수 있고, 무광 마감 특성상 관리가 약간 필요하지만, 성능과 디자인을 고려하면 충분히 추천할 만한 제품이고 저는 재구매 의사 분명히 있어요!",,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/28/5442174417379520681/ba614052-fa9f-450a-933a-385524191011.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/28/5442174417379520681/3805eb69-122b-4377-af78-8d97bc1bbb6f.jpeg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/28/5442174417379520681/cf85c945-ad75-4617-9cac-5ce43358f732.png"
3,5,2025.06.15,박*진,나의 하루 가방 속 필수 아이템,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
체험단에 선정되고 다행히 저의 일상에서 가장 필요했던 물건을 사용해보게 되어 기뻤습니다.
2년 반 남짓 사용하고 있는 핸드폰이 있고 기존에 사용해 왔던  보조 배터리가 수명을 다하고 있던 시점이라 제품을 선정하는데
망설임이 없었습니다.
우선 기본적이지만 가장 좋은점은  해드폰 배터리 방전에 대한 불편함이 해소되었다는  점입니다. 배터리 완충을 해놓아도 하루를 버티기에 부족한 부분을 충분히 메워주었습니다. 그리고 휴일같이 야외활동이 있는 날엔 꼭 챙겨야 할 필수품이 되었습니다.
그리고 기존 사용해 왔던 보조배터리 보다
무게와 부피가 줄어들어 휴대하기 더 좋아 졌다는게 달라진 장점입니다.
휴대폰 완충시간도 줄어들었고 다행히 제가 좋아하는 메탈광 하늘색이라 보고 있으면 기분이 좋아집니다.
이상 구매 후기를 마치겠습니다.
여기까지 읽어주셔서 감사하고
구매에 도움이 되셨으면 좋겠습니다.☺️",1.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/15/7521482233045955232/6835c78b-f9f0-4569-8a8b-328765c914e8.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/15/7521482233045955232/a603cc37-9a27-4357-b6ea-5129d341c07d.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/15/7521482233045955232/b96e4342-94e8-4651-b8d2-476a92876429.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/15/7521482233045955232/daec66f4-3875-41a5-acd0-9295a801e1fb.jpg"
4,5,2025.06.07,김*진,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.휴대성: 슬림하고 가벼운 디자인으로 가방에 부피를 많이 차지하지 않고 매우 가볍고 좋아요디자인: 심플하고 미니멀해서 세련돼 보입니다충전속도: 20w 고속 충전이라 충전이 빠르게 잘 돼요.다만, 배터리 표시잔량이 없는 점과 대용량이 아니라 자주 충전해줘야한다는 점이 불편했습니다.전체적으로 아주 만족스러운 소비였어요","쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
휴대성: 슬림하고 가벼운 디자인으로 가방에 부피를 많이 차지하지 않고 매우 가볍고 좋아요
디자인: 심플하고 미니멀해서 세련돼 보입니다
충전속도: 20w 고속 충전이라 충전이 빠르게 잘 돼요.
다만, 배터리 표시잔량이 없는 점과 대용량이 아니라 자주 충전해줘야한다는 점이 불편했습니다.
전체적으로 아주 만족스러운 소비였어요",,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/7/5226654259616612749/d702df96-baf7-4406-860a-35aba824e86d.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/7/5226654259616612749/108129e9-ba81-4aa7-93bb-23315d3246e6.jpg"
5,5,2025.04.21,김*영,작고 얇고 가볍고 충전속도 꽤 빠름,"작고 가볍고 얇아서 충전하면서 들고다니기 편해요
충전도 꽤 빨라요. 다만, 갤럭시 초고속 충전은 안되네요
고속 충전까지만 됩니다
아쉬운 점은 c타입 포트가 하나 더 있었으면 좋겠네요
배터리 충전할 때마다 연결한 선을 빼고 충전해야하는게
은근 불편합니다
추가로 스페이스 그레이를 시켰는데, 블루가 왔어요
근데 블루도 어두운 실버 베이스에 은은하게 푸른
빛이 도는 정도라 잘못 온지도 몰랐네요 ㅎㅎ;
뭐 색은 블루도 어두워서 그냥 쓸랍니다",,
6,5,2025.05.30,김*겸,작고 좋습니다.,"가격에 값어치는 하지 않으니
실용성을 찾으시는 분에게는 맞지 않습니다.",,
7,5,2025.04.14,박*원,가볍고 디자인 깔끔추천저처럼 무거운 거 극혐하시는 분어디 멀리 나갈 때 배터리 아껴서 쓴다꼭 필요한 건 아닌데 가끔 쓸 거다약10%에서 1회 정도 풀충하면 충분하다비추천휴대폰 20퍼 이하에서 100퍼로 여러번 충전하고 싶다나는 충전할 기기가 여러가지다매번 충전하기 귀찮다보조배터리 매일 또는 자주 사용한다,"가볍고 디자인 깔끔
추천
저처럼 무거운 거 극혐하시는 분
어디 멀리 나갈 때 배터리 아껴서 쓴다
꼭 필요한 건 아닌데 가끔 쓸 거다
약10%에서 1회 정도 풀충하면 충분하다
비추천
휴대폰 20퍼 이하에서 100퍼로 여러번 충전하고 싶다
나는 충전할 기기가 여러가지다
매번 충전하기 귀찮다
보조배터리 매일 또는 자주 사용한다",,
8,5,2025.02.18,Anonymous,작고 가벼우면서 퀄리티와 성능까지 챙긴 보조배터리 추천,"굉장히 얇고 가벼워서 부담없이 가지고 다닐수 있고 저처럼 쉬는날에 동네 산책 1~2시간 걸으면서 가지고 다니기 좋은 보조배터리다.
충전시간도 만족스러우며 20w로 출력,입력이 되다보니 쾌적함
맥세이프가 안되어서 아쉽지만 제가한 뻘짓이 투명케이스가 많다보니 하나는 맥세이프용으로 개조해서 폰에 붙일수 있도록 함 ㅋㅋ 참고하세요",3.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/18/7108960686015740133/f2017777-c402-432c-bb12-770a9af13162.jpg
9,5,2025.03.28,장*규,좋다좋아,"진짜 작고예쁨
휴대성 간편
충전속도 최고
배터리 없는상태에서는 완충 불가
아이폰16프로 사용자
그래도 결론은 좋아요",,
10,5,2025.03.04,박*희,사이즈도 컴팩트하고 좋습니다.,사이즈도 컴팩트하고 좋습니다.,,
