rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.14,홍*술,샤오미 유저 아니면 굳이 살 필요는 없을 거 같음,"[들어가면서]
샤오미 GaN 67W 충전기로 중국제는 자기들만의
전용 충전 프로토콜을 가지고 있어서 타사 호환이
잘 안되는 특성이 있고 보통 A to C를 많이 사용함
그럼에도 가끔 C to C 단독이나 A to C도 포함된
충전기를 내놓곤 하는데 이게 그런 류의 제품군임
[제품 특징]
기존 A to C 충전기처럼 묵직함 단자는 A, C 두개
최대 출력은 67W인데 A기준이고 C는 65W만 됨
삼성, 애플 등 제조사 충전 출력과도 모두 호환 됨
[제품 장점]
생각보다 발열이 적고 샤오미 답게 깔끔한 디자인
국내 정발이라 220v 국내 규격에 박스도 한국판
한정으로 리디자인하여 신경 써준 것이 마음에 듬
[제품 단점]
케이블 같이 넣어주는 애들도 있는데 미포함임
이해는 가지만 적어도 C단자나 A단자를 하나 더
넣었으면 좋았을 거 같은 무게와 두께(길이)긴 함
[결론]
가격과 품질 생각하면 괜찮네 나쁘지 않다 수준
단 샤오미 전용 프로토콜 충전을 메인으로 쓰고
아이폰 같은 걸 서브로 쓰는 사람을 제외하고는
굳이 이 제품을 구매할 이유가 있을까 싶기는 함
[번외]
아 그리고 정품 C to C 케이블도 판매하던데
스펙이 좀 딸리는 편이라(충전에는 문제 없음)
차라리 쿡테크 제품 추천 단 검정색만 존재함",1.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/4718913821197560071/5935618d-d932-4a7f-82d6-556947fa7b82.jpeg
2,3,2025.05.16,양극화리뷰,샤오미 14t 사용자의 사용기,"25년 3월 7일경, 샤오미 14t를 구입하면서 같이 이 충전기를 주문했습니다. 14t가 충전기를 주지 않았고 평소 휴대폰은 같은 회사 제품이 좋다고 생각했기에 겸사겸사 구입했죠.
충전 속도는 미친 듯이 빠릅니다. 배터리 보호를 위해 80%만 충전되도록 해놔서 충전 속도가 더 빠른 것 같아요. 10% 정도 남았을 때 충전시키면 대강 20~30분이면 얼추 80% 충전되는 것 같습니다.
그런데 문제는 방전되는 속도도 미친 듯이 빠릅니다.
사실 이건 14t의 문제 같기도 합니다. 80% 충전시 약 6시간 정도 사용이 고작이거든요. 저는 이문제를 해결하려고 여러 정보를 서치했는데 25w 충전기를 사용하고 완전 충전과 완전 방전을 3번쯤 되풀이하면 배터리 효율이 올라간다는 정보를 입수 후 25W 충전기를 구입후 충전해봤습니다.
그런데 충전 속도가 그렇게까지 차이가 안 나네요. 20~30분 걸리던 것이 30~40분 걸린다는 느낌일까요? 안타깝게도 배터리 효율은 여전히 똥망이지만 25w와 67w가 충전 속도가 별 차이 안 난다는 건 확인했습니다.
그렇다면 굳이 비싼 67w를 사용할 필요가 있나 싶네요.
결론) 충전 속도 빠릅니다. 하지만 보통의 25w와 비교시 10~20분 정도밖에 차이가 안납니다.
밤새 충전하는 타입이라면 그냥 25w 사시고, 내 핸드폰이 빨리 방전되는 터라 빠른 충전이 필요하다면 그냥 보조배터리 사세여. 두 개 합쳐 만원 좀 넘는데, 이건2.9만원... 훨 비싸잖아요.",,
3,5,2025.06.28,김*우,가격은 좀 나가도 충전 빠르네요,가격은 좀 나가도 충전 빠르네요,,
4,5,2025.02.12,차*환,충전속도가 짱입니다요~^^,,,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/12/5080045129096358197/19bd390c-262e-452e-8bf8-1ce49a775318.jpg
5,5,2025.05.30,권*진,,,,
6,5,2025.05.10,JIM**** *******,,,,
7,5,2025.04.16,김*혁,,,,
8,5,2025.04.14,TAI****,,,,
9,5,2025.04.07,Mayknight,,,,
10,5,2025.03.22,Gal*** **** ****,,,,
11,5,2025.03.05,제*훈,,,,
12,5,2025.02.23,Zccvbnv,,,,
13,5,2025.02.12,And* *********,,,,
14,5,2025.02.03,손*창,,,,
15,5,2025.01.26,조*기,,,,
