rank,rating,date,user,headline,body,helpful_count,images
1,4,2025.05.15,째이,⭐ 광고 빼면 만족! 실사용자 솔직 리뷰 ⭐,"✅ 기존 삼성 유저였던 제가 갈아탄 이유
요즘 휴대폰 가격 진짜 너무 비싸잖아요ㅠ
그래서 이번엔 처음으로 샤오미폰을 선택해봤어요.
너무 오래된 삼성폰을 쓰다가 바꾸니까 용량커서 좋고
깔끔해서 좋더라고요.
사진은 와이프가 들고 찍었는데, 폰은 좀 큰 편인 것 같아요.
저처럼 남성분들이 사용하기에 딱 좋은 크기 같습니다.
✅ 디자인 & 구성
처음 받았을 때 디자인이 깔끔해서 딱 마음에 들었어요!
전 색상은 민트그린으로 골랐고, 기본 케이스는 블랙으로 같이 들어있어서 따로 살 필요가 없더라고요.
이런 구성까지 챙겨주는 거 보니 “역시 가성비폰이다” 싶었어요.
✅ 용량 만족도
무려 264GB 대용량이라
앱이랑 사진도 넉넉히 담을 수 있어요.
저처럼 자잘한 앱 많이 깔아두는 분들에겐 좋은 것 같아요
❗ 사용하면서 느낀 단점
광고가 너무 자주 떠요...
앱 실행할 때 알리나 테무 광고가 자꾸 나오는데
이건 설정으로 꺼지지 않아서 아쉽더라고요ㅠ
카메라 화질은 그냥 보통!
뽀샤시하고 선명한 느낌은 덜해요. 기대치는 조금 낮춰야 해요.
속도는 애플보단 살짝 느림
와이프 아이폰(5년 된 모델)이랑 같은 앱 눌러봤는데
아주 약간 느린 느낌이 있어요.
✅ 이런 분께 추천!
- 카톡, 유튜브, 웹서핑 위주로 휴대폰 사용량이 많지 않은 분
- 게임 많이 안 하시는 분
- 합리적인 가격에 성능도 괜찮은 폰 찾는 분
❤️결론!
비싼 폰 부담된다면
샤오미 레드미 노트13 정말 괜찮은 선택이에요!
저처럼 라이트하게 사용하는 분들께는
충분히 만족할 수 있는 가성비폰이에요 :)
❤️도움이 되셨다면
좋아요 꾸욱~ 부탁드립니당!
6월 28일 후기
중국어로 된 광고가 생각보다 좀 뜨네요
그거 외에는 괜찮아요
저는 폰을 잘 사용하지 않기 때문이지요
폰 많이 사용하시면 약간 신경쓰일수도 있겠어요",2.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/15/3898175544328704269/5f99ab22-89e9-48ac-a525-73a69353525f.jpeg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/15/3898175544328704269/caeb1855-203d-458e-9bdf-d5fb5611d84b.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/15/3898175544328704269/1526affd-7e4e-4249-83a0-12d0a491ccb1.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/15/3898175544328704269/64d39d75-cf55-4364-97cd-fe39546bbf7b.jpeg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/15/3898175544328704269/44dc268d-a21b-48c9-b514-6e684fd59e5d.jpeg"
2,5,2024.09.18,리리네,샤오미는 정말 대륙의 실수.. 조금 감동이지 말입니다?,"안녕하세요 ! 제가 진짜 찐 샤오미 핸드폰 리뷰를 해보겠습니다.
(내돈내산!!!!!!!!)
업무용으로 쓰던 폰이 버벅되어서,
처음엔 중고로 당근으로 찾아보다가,
이러느니 샤오미폰을 한번 사봐? 라는 마음이들었어요.
핸드폰은 삼성아님 애플밖에 모르던 제가
모험을 해봅니다.. ( 다들 이런 생각이시겠죠??)
가격은 20만원대.
이가격으로 새 핸드폰을 산다?
이것부터가 미쳤쥬?
** 두둥 받았습니다 !
헝.. 보자마자 저 감동 받아요..
1. 시원한 화면.. 아이폰 프로 14 보다 살짝 큽니다 !
2. 근데 가볍고 얇다.
3. 소프트웨어가 애플 비슷^^
4. 화면보다 더 예쁜 민트입니다 (연두 아님)
5. 나쁘지 않은 화질
아니 그리고 진짜 미쳐버린 센스가 뭔지 아십니까?
액정필름이랑 케이스가 들어있어효!!!!
핸드폰 살때마다 우리 그것부터 같이 사잖아요?
사서 바로 붙이고 끼우고 싶으니까요~~~~???
근데 들어있는거에요 세상에.. 이건 너무 감동임
센트 터지쥬?
이전에 쓰던 기계에서 메시지부터 다 옮겨오는것도 바로 됩니다..
( 안드로이드 기반)
아 기대 이상이에요..
물론 뽑기가 잘 걸려 오래오래 써야 하겠지만
너무 맘에 드는거에요..
카메라는 사실 아이폰 쓰다보니
이거 따라올건 없어서. 패스^^
아니 진짜 키즈폰으로도 좋을거 같구
어르신들 약정 하지마시고
이거 해서 알뜰폰 하면 최고일거 같아요..
너무 만족이에요..
저도 애플빠입니다 !!!!
근데.. 이건 인정이에요.. 가성비 미쳤어요~~~~
무조건 무조건 추천이에요!!",52.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/9433e95a-bda9-49f0-bd45-b45742c1d84b.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/88ec3d81-0a7f-4be0-b6ce-0f70182393bc.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/899d4398-1f1c-4794-97bd-1d86a5fc2c08.jpeg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/fc063ac4-f0b2-4fca-b451-0ce14287b7b0.jpeg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/26bb25b4-da1e-4eb6-a143-aa8854c31aa2.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/bb118cf2-b940-4def-a340-c4121c5bfb1e.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/d16a3416-ecf5-4620-aa28-fbd3db535535.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/ca94b2e2-08c0-4d78-9d50-fb7f31cab314.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/6417484134689659585/3f57271e-3d1f-4f75-9259-a075a7a6a44a.jpeg"
3,5,2024.05.10,쿠팡실구매자,싼데 좋은 성능,"샤오미 레드미 노트 13, 블루, 128GB 버전을 구매했는데, 정말 만족스러운 선택이었어요. 제가 쓸 건 아니고 어머니 선물로 준비한 거였는데요. 이 휴대폰은 가격 대비 훌륭한 성능과 디자인으로 많은 사람에게 사랑받을 수밖에 없다고 생각해요. 중국폰을 이제 우습게 볼 시기는 지나지 않았나 싶을 정도로 아주 좋은데요?
디자인과 색상도 블루 색상이 정말 매력적이에요. 블루 톤의 색감이 영롱하고 고급스러워요. 후면 디자인은 깔끔하고 세련돼서 어디에나 잘 어울려요. 손에 쥐었을 때의 그립감도 좋아서 오래 사용해도 편안해요. 휴대폰 뒷면은 고급스러운 마감 처리로 지문이 잘 묻지 않고 깨끗하게 유지돼요. 이 정도 가격에 이만한 디자인이면 괜찮다고 봐요.
디스플레이는 6.67인치의 FHD+ AMOLED라는데요. 제가 보기엔 fhd도 충분한듯, 생생한 색감과 선명한 화질을 제공해요. 유튜브나 넷플릭스 같은 동영상 콘텐츠를 볼 때도 몰입감이 아주 뛰어나요. 120Hz 주사율을 지원하기 때문에 스크롤을 하거나 게임을 할 때도 부드럽게 움직이고요. 화면 밝기도 충분히 높아서 야외에서도 문제없이 볼 수 있고, 눈부심 방지 기능도 잘 작동해서 편안해요.
여기에는 미디어텍 Dimensity 920 프로세서를 탑재하고 있대요. 8GB RAM 덕분에 여러 앱을 동시에 실행해도 끊김 없이 작동하고, 128GB의 내장 메모리도 넉넉해서 사진이나 동영상, 앱을 저장하기에 충분해요. 필요하다면 microSD 카드를 사용해서 추가로 용량을 늘릴 수 있어요.
후면에 108MP 메인 카메라는 선명하고 디테일한 사진을 찍어주고, 초광각 카메라는 넓은 풍경을 잘 담아내고 있는데요. 매크로 카메라로는 작은 물체를 근접 촬영하는 재미가 있어요. 전면 16MP 카메라도 셀피를 찍기에 충분한 화질을 제공해요. 다양한 모드와 AI 기능이 있어서 사진 촬영이 더욱 즐거워요.
5000mAh의 대용량 배터리는 하루 종일 사용해도 배터리 걱정이 없어요. 동영상 시청이나 게임을 해도 배터리 소모가 크지 않아서 만족스러워요. 67W 고속 충전 기능을 지원해서 배터리가 부족해도 빠르게 충전할 수 있어요.",30.0,
4,5,2025.07.01,김*미,"Xiaomi Redmi Note 13 Air System 민트그린 264GB 실사용 후기 - 공간 넉넉한 성능과 쿨링 시스템 솔직 리뷰스마트폰을 교체할 시기가 되어 다양한 모델을 비교하던 중, Xiaomi Redmi Note 13 Air System 모델이 눈에 들어왔습니다. 특히 민트그린 컬러의 독특함과 264GB의 넉넉한 저장 용량, 그리고 'Air System'이라는 이름에서 느껴지는 발열 제어 기술에 매력을 느껴 구매하게 되었습니다. 현재 업무용과 영상 감상, 게임 플레이까지 여러 용도로 2주간 실사용해 본 결과를 바탕으로 리뷰를 작성합니다. 우선 외관부터 언급하자면, 민트그린 컬러는 화면보다 실물이 훨씬 고급스럽고 세련된 느낌을 줍니다. 대용량 스토리지와 발열 억제 기능이라는 두 요소가 얼마나 실효성 있는지도 궁금했는데, 실제 사용하면서 직접 체감한 장점과 개선점도 함께 정리하였습니다. 그럼 본격적으로 리뷰를 시작하겠습니다.- 간단 3문답그래서 가격은 만족하는가? 가격 대비 기능 구성은 꽤 합리적인 수준이라고 판단됩니다. 동급 스펙 대비 가성비가 우수한 편입니다.상품 막상 많이 사용하는가? 하루 종일 사용하게 됩니다. 저장 공간이 넉넉해서 영상, 사진, 앱 설치 모두 여유가 있습니다.전체적인 느낌은 어떠한가? 기대 이상으로 실속 있고 세련된 느낌입니다. 발열 억제 효과도 분명히 체감됩니다.3. 장점 상세 설명✅ 민트그린 컬러의 세련된 디자인외관 색상은 흔치 않은 민트그린으로, 실물은 훨씬 고급스럽고 시각적 만족감이 큽니다. 지문이 잘 묻지 않는 무광 마감 처리도 인상적입니다.✅ 264GB의 대용량 저장 공간고화질 사진과 4K 영상 파일을 여유 있게 저장할 수 있는 수준입니다. 별도의 외장 메모리가 필요 없을 정도로 충분합니다.✅ Air System 발열 억제 기술장시간 게임 플레이나 영상 재생 시에도 기기 온도가 크게 상승하지 않았습니다. 쿨링 기술이 실제로 작동하는 것을 체감할 수 있었습니다.✅ 배터리 성능5,000mAh 배터리로 하루 종일 충전 없이 사용 가능했습니다. 고속 충전도 안정적으로 작동해 충전 스트레스가 적었습니다.✅ 디스플레이 품질120Hz 주사율을 지원하는 AMOLED 디스플레이로, 화면 전환이 부드럽고 색 표현이 매우 선명했습니다. 밝기도 충분해서 야외 시인성도 우수했습니다.✅ MIUI 인터페이스Xiaomi 특유의 MIUI 인터페이스는 처음엔 다소 익숙하지 않았지만, 적응 후에는 매우 직관적이고 커스터마이징이 뛰어납니다.✅ 스피커 품질듀얼 스테레오 스피커를 탑재해 음악 감상이나 영상 시청 시 몰입감이 높았습니다. 음량도 충분하고 왜곡이 적었습니다.4. 결론Xiaomi Redmi Note 13 Air System은 디자인, 저장 용량, 발열 제어, 디스플레이 품질 등 여러 측면에서 매우 만족스러운 스마트폰입니다. 민트그린 컬러와 고사양 스펙이 조화를 이루며, 실속 있는 선택을 원하는 사용자에게 적합한 제품이라고 생각됩니다. 다만 처음 MIUI 환경에 적응이 필요할 수 있지만, 전체적인 경험은 충분히 긍정적이었습니다.▼구매 결정에 도움될 만한 정보▼설치 난이도: ⭐⭐⭐⭐⭐ (간단함)디자인: ⭐⭐⭐⭐⭐ (세련됨)화질: ⭐⭐⭐⭐⭐ (선명함)가성비: ⭐⭐⭐⭐☆ (우수함)사용 목적: 영상 감상 / 게임 / 업무용","Xiaomi Redmi Note 13 Air System 민트그린 264GB 실사용 후기 - 공간 넉넉한 성능과 쿨링 시스템 솔직 리뷰
스마트폰을 교체할 시기가 되어 다양한 모델을 비교하던 중, Xiaomi Redmi Note 13 Air System 모델이 눈에 들어왔습니다. 특히 민트그린 컬러의 독특함과 264GB의 넉넉한 저장 용량, 그리고 'Air System'이라는 이름에서 느껴지는 발열 제어 기술에 매력을 느껴 구매하게 되었습니다. 현재 업무용과 영상 감상, 게임 플레이까지 여러 용도로 2주간 실사용해 본 결과를 바탕으로 리뷰를 작성합니다. 우선 외관부터 언급하자면, 민트그린 컬러는 화면보다 실물이 훨씬 고급스럽고 세련된 느낌을 줍니다. 대용량 스토리지와 발열 억제 기능이라는 두 요소가 얼마나 실효성 있는지도 궁금했는데, 실제 사용하면서 직접 체감한 장점과 개선점도 함께 정리하였습니다. 그럼 본격적으로 리뷰를 시작하겠습니다.
- 간단 3문답
그래서 가격은 만족하는가? 가격 대비 기능 구성은 꽤 합리적인 수준이라고 판단됩니다. 동급 스펙 대비 가성비가 우수한 편입니다.
상품 막상 많이 사용하는가? 하루 종일 사용하게 됩니다. 저장 공간이 넉넉해서 영상, 사진, 앱 설치 모두 여유가 있습니다.
전체적인 느낌은 어떠한가? 기대 이상으로 실속 있고 세련된 느낌입니다. 발열 억제 효과도 분명히 체감됩니다.
3. 장점 상세 설명
✅ 민트그린 컬러의 세련된 디자인
외관 색상은 흔치 않은 민트그린으로, 실물은 훨씬 고급스럽고 시각적 만족감이 큽니다. 지문이 잘 묻지 않는 무광 마감 처리도 인상적입니다.
✅ 264GB의 대용량 저장 공간
고화질 사진과 4K 영상 파일을 여유 있게 저장할 수 있는 수준입니다. 별도의 외장 메모리가 필요 없을 정도로 충분합니다.
✅ Air System 발열 억제 기술
장시간 게임 플레이나 영상 재생 시에도 기기 온도가 크게 상승하지 않았습니다. 쿨링 기술이 실제로 작동하는 것을 체감할 수 있었습니다.
✅ 배터리 성능
5,000mAh 배터리로 하루 종일 충전 없이 사용 가능했습니다. 고속 충전도 안정적으로 작동해 충전 스트레스가 적었습니다.
✅ 디스플레이 품질
120Hz 주사율을 지원하는 AMOLED 디스플레이로, 화면 전환이 부드럽고 색 표현이 매우 선명했습니다. 밝기도 충분해서 야외 시인성도 우수했습니다.
✅ MIUI 인터페이스
Xiaomi 특유의 MIUI 인터페이스는 처음엔 다소 익숙하지 않았지만, 적응 후에는 매우 직관적이고 커스터마이징이 뛰어납니다.
✅ 스피커 품질
듀얼 스테레오 스피커를 탑재해 음악 감상이나 영상 시청 시 몰입감이 높았습니다. 음량도 충분하고 왜곡이 적었습니다.
4. 결론
Xiaomi Redmi Note 13 Air System은 디자인, 저장 용량, 발열 제어, 디스플레이 품질 등 여러 측면에서 매우 만족스러운 스마트폰입니다. 민트그린 컬러와 고사양 스펙이 조화를 이루며, 실속 있는 선택을 원하는 사용자에게 적합한 제품이라고 생각됩니다. 다만 처음 MIUI 환경에 적응이 필요할 수 있지만, 전체적인 경험은 충분히 긍정적이었습니다.
▼구매 결정에 도움될 만한 정보▼
설치 난이도: ⭐⭐⭐⭐⭐ (간단함)
디자인: ⭐⭐⭐⭐⭐ (세련됨)
화질: ⭐⭐⭐⭐⭐ (선명함)
가성비: ⭐⭐⭐⭐☆ (우수함)
사용 목적: 영상 감상 / 게임 / 업무용",,
5,4,2024.04.30,장*성,"디자인이 생각보다 예쁘네요~블루색상인데 색깔이 막 예쁜 블루는 아닙니다디자인 실물이 잘 빠져서 맘에 듭니다 이건 생각 외입니다배터리용량, 충전 : 제법 오래가네요 평일 간단한 업무전화 하고 개인 전화랑 인터넷 찾기 몇가지 하는 정도로사용하니 하루 이상갑니다. 배터리 충전은 정말 빠르네요 큰기대 없이 충전해서 그런지 기대 이상으로 빠른거같습니다 급속충전입니다디스플레이 : 가격대비 저는 좋습니다 120Hz 주사율이라 발기도 좋고 야외에서도 아무 문제 없네요----------------------------------사용후기배송후 이것 저것 다해 봤습니다일단 카메라는 아쉽습니다 1억화소라고 하는데 건 기대에 못미치는거 같습니다전 게임은 안해서 상관없는데 아이가 깔아서 해보더니 속터진다고 하네요~~ㅎㅎ게임은 안하는거로~~인터넷 서치는 문제 없고 저는 유튜브를 자주 애용하는데 이것도 문제 없습니다통화 품질도 괜찮고 음악듣기도 깔끔합니다전체적으로 가격대비 성능이나 카메라 사양등이 기본은 되는 수준이지 않나 싶습니다","디자인이 생각보다 예쁘네요~
블루색상인데 색깔이 막 예쁜 블루는 아닙니다
디자인 실물이 잘 빠져서 맘에 듭니다 이건 생각 외입니다
배터리용량, 충전 : 제법 오래가네요 평일 간단한 업무전화 하고 개인 전화랑 인터넷 찾기 몇가지 하는 정도로
사용하니 하루 이상갑니다. 배터리 충전은 정말 빠르네요 큰기대 없이 충전해서 그런지 기대 이상으로 빠른거
같습니다 급속충전입니다
디스플레이 : 가격대비 저는 좋습니다 120Hz 주사율이라 발기도 좋고 야외에서도 아무 문제 없네요
----------------------------------
사용후기
배송후 이것 저것 다해 봤습니다
일단 카메라는 아쉽습니다 1억화소라고 하는데 건 기대에 못미치는거 같습니다
전 게임은 안해서 상관없는데 아이가 깔아서 해보더니 속터진다고 하네요~~ㅎㅎ
게임은 안하는거로~~
인터넷 서치는 문제 없고 저는 유튜브를 자주 애용하는데 이것도 문제 없습니다
통화 품질도 괜찮고 음악듣기도 깔끔합니다
전체적으로 가격대비 성능이나 카메라 사양등이 기본은 되는 수준이지 않나 싶습니다",26.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/b63a69bc-cc95-4824-a86e-220f5577ea20.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/1af175cb-23dd-45dd-9738-eec5a9d6c1d2.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/2bfeeab3-3124-4b8e-a698-a8f6dd6045e1.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/c10b32ac-4964-447b-8fc7-422aa25d5e62.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/d64b6a53-fe76-4dd2-b9b8-77b03ea1c195.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/fd8a5c9d-ffb9-4cf3-8c0f-e6f89d24a39d.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202404/30/1904716417430971593/5cd44fc1-549b-4ac9-a096-61653d66c7a1.jpg"
6,1,2024.12.25,김*선,조심하세요 이거 내린다고 하고서는 아직도 그대로내요,"135GB 블루컬러 주문했는데요 128GB제품이왔어요!!
구매당시 해당제품의  판매글 제목과 옵션사항에는 135GB라고 기제해서 판매를 했으면서 (지금은 제목에 135GB""이 문구만 빼서 수정해놓고  상세이미지랑 옵션사항은 그대로네요)
뻔뻔하게도  상세이미지에 128GB부터~라고 기제 되어있기때문에 오배송이 아니라합니다
제품상세 이미지에 128GB부터~  부터~ 부터~!!!    그래서 135GB주문해도 128GB부터기때문에  128GB제품을  받아보는게 문제가 아니고  제품교환을 요청해도  135GB제품으로는 보내줄수가 없데요
(차후에 제가 파악해본바라로는 해당기종의 모든 모델에 대표적으로 사용하는 연출이미지였습니디)
심지어 해당 페이지에서 옵션으로 GB를 선택하게 할수 있게 되어있었습니다
135GB를 선택시에는 블루칼라면 구매가능했고
128GB를 선택하면 블랙.블루등  다른칼라선택도 가능했구요
264GB까지 선택가능하게 되어있었구요 가격변동도 같이 따라왔구요
★135GB주문할때 주의하세요 사기에요
번외) 디스플레이가 엉망이에요 물빠진색감이에요 채도설정도 이상해서 연두색계열과 노란색계열 색은 형광끼가 느겨집니다
네이버나G마켓같은 연두계열로고쓰는 사이트 들어가면 눈이 넘 아프네요
추후 알아본바로는 기존에 삼성꺼 사용했는데 중국이 자국제품 활성화때문에 이번모델에 중국산 디스플레이를 쓴다 하더라구요 ㅠ 실망입니다",14.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202412/25/2930045133040055229/aec8214a-ae7b-43d3-a717-ef564b32e0d0.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202412/25/2930045133040055229/f53eaf5d-48cf-4ec4-82d8-e617ea1fcb87.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202412/25/2930045133040055229/7a34d9f8-dd3c-4e65-8f0e-96e4295fdcbb.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202412/25/2930045133040055229/303bbbc8-6941-4693-81a2-e36740752a66.jpg"
7,5,2024.05.27,김*범,서브폰으로 샀습니다,"유심은없구요 메인은 갤럭시A34를쓰는데 배터리떨어지거나 그럴때 교대해서 쓸려고 찾다가 카메라로 촬영도 자주하는데 카메라 성능도 나쁘지않아서
샀습니다 삼성은 S시리즈가려면 비싸구요 자급제에 새걸로 사고싶은데 애초에 예산도 30만원대로 잡아서 안되구요
아무튼 나쁘지않고 유심 듀얼지원에 폰에 충전기도 다주고
케이스도주고 필름도 붙여서 나오는게 신기하고 좋습니다.
정발이라 어댑터는 220볼트 그걸로 들어있어요",14.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/80eba8ae-71af-411d-bf0a-0512dccae7ee.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/c04cfe58-7189-4da0-93d8-80197da9d86d.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/69a92f7a-3bc9-4867-a19f-a0abea379e16.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/75452465-86ea-4da5-96f6-23d200c19ac3.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/202f8a18-0815-4512-9529-f999fe315f24.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/ebf60af2-757c-4ab4-9a3c-8c865807d791.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/27/3357920732452684420/cc5146ba-55c6-48bb-b58a-84e0d03a6438.jpg"
8,4,2024.06.09,하플러스,출시 가격 거의 그대로 구매,"하루에 한 대도 안 팔린다고 얼론 해서 그래서 정말 쌀 줄 알고 쿠팡을 뜯어 봤으나 쿠팡에서 확인 한다고 하는 가격은 원래 출시가격하고 동일 했습니다. 메인 폰이 아니라 업무용으로 간단하게 사용할 전화기를 구매 하려고 하다 보니 삼성 중고폰이나 중국제 신제품 중에 고르게 됐는데 배터리 교체 비용이나 이런 것들을 생각해서 그냥 중국 제 폰을 구매 했습니다.
스펙상으로는 오 LED 120 헤르츠 트리플 카메라 등 정말 좋아 보여서 구매했는데 문제는 AP 가 좀 느립니다  일반적인 업무로는 느린 것을 못 느끼지만 조금 더 빠른 걸 넣어줬으면 더 좋았을텐데 하는 생각을 합니다  국내 정식 발매 제품은 결국 중국에 글로벌 롬 제품과 똑같은 데 가격은 우리나라가 훨씬 비쌉니다. 물론 AS 가 된다고 하지만 요즘 AS 받을 일이 없기 때문에 한국 정식 발매 제품만 의 특징은 잘 모르겠습니다
제품에 또 다른 장점은 이런 비인기 제품은 케이스 나 액정 보호 보호필름을 구하기가 힘든데 액정 보호필름이 붙어져 있고 케이스도 짙은 회색 제품 하나가 있습니다  제품 자체 색상은 아무런 의미가 없는 것 같습니다.
생각보다 화면이 크고 배터리도 새것이고 샤오미가 다른 제품들처럼 지나치게 샤오미를 강조 하지 않아서 Google Store 프로그램도 잘 깔립니다
물론 샤오미 감성을 느끼실려면 돈을 내면 여러 가지 폰트 화면 모드를 바꿀 수 있는 스토어로가 존재합니다. 그러나 그냥 Google 폰으로 사용하고 싶은 분들에게 걱정되었던 샤오미 의 유아인은 그렇게 걱정 안해도 될 듯합니다.
듀얼 유심을 지원하므로 여행 하실 때 괜찮을 수 있습니다. 그러나 이 심은 지원하지 않습니다.
카메라는 삼성 전자의 센서를 사용하고 있고 나쁘지 않습니다. 어차피 소니 아니면 삼성인데 삼성을 선택한 거죠.
결론  싼 새 배터리 폰을 생각하면 나쁘지 않다  그러나 샤오미 라고 모든 것을 다 해줬을 것이라고 생각하면 곤란하다.",29.0,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/9/6160837621275715843/22fe8b13-b2e0-4dee-a9a6-e81e15943ff3.jpg
9,5,2025.01.01,박*원,반품 및 교환도 빠르네요.,"기기자체 문제가 있어 교환했는데 정상 작동하는 기기로 잘 교환했습니다.
검은색 케이스 + 고속 충전기도 동봉되어 편리합니다.
홍미노트7에서 넘어왔는데 만족스럽네요. 이 폰도 몇 년 이상 쓸 수 있을 듯 해요.
120hz 주사율이 매끄럽게 잘 됩니다.",,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/1/4216392366290457068/a6186a3a-ff47-44d6-82e2-3aa3ae9820ed.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/1/4216392366290457068/332df5fb-efc3-479f-ba71-369dc43da454.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/1/4216392366290457068/e4998b51-b1dd-442d-8d31-a6c8347543b6.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/1/4216392366290457068/10e497d2-3017-406a-9136-059c174ce633.jpg"
10,5,2024.03.31,이*하,이가격대엔 경쟁상대가 없을만한 제품,"장점
디자인:말이 필요없습니다. 사진만 보고 판단하면 정말 큰착각이에요. 실물이 정말 깡패입니다.
배터리:하루 쓰는데는 지장없구요 많이 만지는게 아니라면 이틀도 사용가능할것 같습니다. 또한 동봉된 충전기로 충전을 하면 정말 빠르게 급속충전이 가능해요. 덕분에 배터리 걱정은 아예 들지 않습니다.
디스플레이:이가격에 120Hz주사율이라니... 정말 좋습니다. 그리고 1800니트까지 밝기 올라가는건 야외에서도 화면이 잘보여 굉장히 좋았습니다.
단점
카메라:좀 많이 아쉽습니다. 1억화소라고 홈페이지에서 설명하곤 있지만 전에 썼던 레드미노트8프로보다도 카메라품질이 떨어지는것 같아요. 계단현상?처럼 확대를 하면 표면이 매끄럽지 못합니다. 전후면 모두 기대보단 매우 아쉽습니다.
성능:스냅드래곤685자체가 그렇게 좋은 칩셋은 아닌데 예상보단 빠릿빠릿합니다. 다만 게임은 아예 생각하지 않으시는게 정신건강에 좋을것 같습니다.
총평:이가격에 이정도의 폰은 아마 유일하지 않나 싶어요. 전체적으로 라이트한 유저입장에서 봤을때 기본은 갖춘 카메라와 기본은 갖춘 성능 그리고 매우이쁜 디자인을 가진 좋은폰인것 같아요. 어중간한 갤럭시 최하위 보급형보단 레드미노트를 사는편이 더 좋을 것 같습니다.",13.0,
