rank,rating,date,user,headline,body,helpful_count,images
1,5,2024.09.12,별빛노트,"넓은 화면과 강력한 성능, 최고의 선택!","샤오미 레드미 패드 프로 12.1을 구매한 후, 큰 화면과 부드러운 120Hz 디스플레이 덕분에 영상 시청과 게임 플레이가 정말 쾌적합니다. Snapdragon 7s Gen 2 칩셋 덕분에 멀티태스킹도 문제 없이 처리할 수 있어 작업 효율도 높아졌습니다. 특히 10,000mAh의 대용량 배터리는 오래 사용해도 쉽게 방전되지 않아 외출 시에도 걱정이 없습니다.
장점:
1. 넓은 화면과 부드러운 화면 전환: 12.1인치의 큰 화면과 120Hz 주사율 덕분에 눈이 편하고 몰입감이 뛰어납니다.
2. 강력한 성능: Snapdragon 7s Gen 2 칩셋으로 무거운 앱도 빠르게 실행되며, 멀티태스킹도 원활합니다.
3. 대용량 배터리: 10,000mAh 배터리로 장시간 사용이 가능해 여행이나 외출 시에도 유용합니다.
4. 사운드: 4개의 스피커 덕분에 생생한 사운드를 제공하여, 영상 시청이나 음악 감상 시 매우 만족스럽습니다.
단점:
1. 약간의 무게감: 크기가 큰 만큼 무게가 조금 무겁게 느껴질 수 있습니다.
2. 충전기 속도: 33W 고속 충전이 지원되지만, 완전히 충전하는 데는 다소 시간이 걸립니다.
추천 이유: 샤오미 레드미 패드 프로는 합리적인 가격에 대형 화면과 고성능을 동시에 누리고 싶은 분들에게 완벽한 선택입니다. 대용량 배터리와 강력한 성능 덕분에 다양한 작업과 엔터테인먼트 모두를 만족시켜 줄 수 있는 제품입니다.",24.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/12/7547384972742663275/e6c6dd5c-dba2-4cb6-a1e5-c653301dcc4f.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/12/7547384972742663275/f79f8a33-4a07-494f-aaa9-005129cc14da.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/12/7547384972742663275/2aa4f7f7-cf6f-42e1-b9d1-a8f124ff0dce.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/12/7547384972742663275/37d5d378-547f-4b0e-8598-0362b7453397.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/12/7547384972742663275/bd530fde-c334-4f2a-8895-a63e5f0ff5a8.jpg"
2,5,2024.07.27,서*경,가성비 태블릿 정발 제품,"Y700 2세대 살까 했지만.. 중국 내수용이라..
잘못 건드리면 돌맹이 된다해서.. 정발 제품 샤오미를 구매!!
그럭 저럭 쓸만 하군요-!!
12.1 인치라서.. 크군요.. 손이 작은 사람은.. 8 ~ 9인치가 적당
제손은 작은데.. 큰 화면으로 영상 시청 및 중보급형 게임 몇개 돌릴려고 한번 사봤어요.
게임은 명조 최고옵션 렉좀 걸리고 중저옵션으로 해두면 렉이 안걸리군요. 명조같은 게임 오픈월드 게임은 Y700 1세대 랑 2세대가 딱이군요. ㅎㅎ
음질.. 소리 작게 틀어두면 잘 안들려요^^ 볼륨 좀 중간 비슷하게 올려야 빵빵 소리 크게 들리네요^^
갤럭시 중급형 보다는 음질 좋지 않아 보이지만..
저가형 태블릿 처음 쓰는데도.. 제겐 적당히 쓸듯 합니다.
화질은 그럭 저럭 쓸만 하네요-! 화면이 커서 그런지..ㅎㅎ
6인치 폰 썻을때와 화질이 달라보이는 것뿐?
갤럭시 폰 화질 보다는 별로지만 딱히 문제 없네요-^^
제가 큰 화면은 처음 써보는거라 그런듯..??
많이 문제 될거는 없어 보이는데요-^^
구성품이 살짝 아쉬워요.. 본체 , 충전기 , 케이블 , sd 카드 슬롯 핀심
이렇게 밖에 없네요.. 케이스랑 키보드랑 펜이랑 필름은 구매해야 되어서..ㅎㅎ 반글화 하실 수 있는분은 내수용 구매해서 쓰시는게 더 저렴하겠네요. 박스가 약간 쭈글하지만 내부 문제는 없었으니..
배터리는 와이파이 쓰면서 하니깐 금방 70퍼까지 떨어지는듯?
100% 충전 사용후.. 해보니.. ㅎㅎ",23.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202407/27/3300042867798557481/aa3d09d3-53f9-4db4-8a52-d0e51f1985b0.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202407/27/3300042867798557481/1df2684e-2234-4046-8d69-af521d521a94.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202407/27/3300042867798557481/a73f453d-aaad-4d30-8b2d-2c45731732a5.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202407/27/3300042867798557481/5d8f461d-afa9-405b-bfd7-ca1c3654b5b8.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202407/27/3300042867798557481/4cb64f34-be86-4946-a2f1-418ece57b3c7.jpg"
3,3,2025.03.21,권*훈,별로 입니다...,"그렇게 좋지는 않으나 가격을 생각하면 더 안 좋은 태블릿
[디자인]
상세페이지의 디장인을 보고 ""오 예쁜데!"" 라고 생각을 했지만 물건을 받고나서 생각이 확 바뀌었어요. 카메라가 무슨 맨홀 뚜껑급으로 큽니다 ㅋㅋㅋ. 그 외 후면 로고나 프레임은 괜찮은 편인데 후면과 프레임 이어지는 경계선이 저는 별로 맘에 안 들더군요. 곡률이 깔끔하게 들어간 느낌이 아니고 가다가 꺾이고 또 꺾이는 느낌(?)입니다.
[디스플레이]
밖에 햇빛 찌는 곳에서는 잘 안 보입니다. 빛 반사율은 굉장히 심한편 입니다. 베젤도 두껍긴 한데 이거는 가격을 보면 용납이 됩니다. 색감은 약간 물 빠진듯해 보입니다. 색감에 민감하신 분들은 금방 눈치 채실 정도로 색감 별로입니다. 그래도 블랙은 꽤 어둡게 표현하고 저는 강의용으로 쓰는데 불편하게 느껴지진 않네요.
[성능]
게임할 생각은 절대 하시지 마시고, 평소 사용 시에도 굉장히 버벅 거립니다.
[카메라]
거대해서 그런지 생각보다 좋습니다. 색감은 살짝 따듯하게 나와요. 동영상은 1080p 30fps만 되서 아쉽기는 하지만 태블릿으로 동영상을 찍지는 않으니 뭐 이건 나쁘다할 수 없네요.
[배터리]
굉장히 짧아요. 영상 몇 개 보지도 않았는데 충전해달라고 하고, 특히 가만히 냅둬도 빨리 달아요. 그래서 사용 안 할때 항시 충전기를 물려놔야 합니다. 충전은 0% -> 100%까지 1시간 58분 걸렸어요. 이 제품에 구성된 충전기로 한 결과에요.
[스피커]
안 좋습니다. 소리가 작고, 찢어지는 저급한 음질을 들려줍니다. 집에 건조기 틀고 사용하면 볼륨 최대로 해도 잘 안들려요. ㅋㅋㅋㅋㅋ
[결론]
이웃인 레ㄴㅂ 샤ㅇㅅ 사는게 더 이득입니다!",10.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/21/835080871863943030/b2aea918-a117-42f3-908c-b5120c39694a.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/21/835080871863943030/7502f62f-693e-4f50-bf2e-07fcca1b6341.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/21/835080871863943030/e69ba43d-33e8-43e3-8df1-ef86155c45d7.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/21/835080871863943030/801f0b27-bc75-44a8-8c6d-cab3ac1d27bd.jpeg"
4,5,2025.01.03,유*근,가성비가 좋은 제품입니다,"저렴한 가격에 좋은 물건을 선물로 드려서 뿌듯하네요
받으신 분도 좋아하시니 너무 만족스런 구매 입니다
태블릿 사실 삼성제품만 사서 썼는데 내구성은 음..일단 고장이나면 목돈이 들어 가니 비싼 제품에 눈이 가질 않더군요
요몇일 검색하다보니 레드미 제품이 눈에 들어왔고 제일 고사양잉 이제품을 보고 이리저리 알아보고 구매하기로 마음먹고 질렀습니다!
결과는 대만족입니다
화면 크고 크기에 비해선 가벼운?
12인치라는 대화면이 만족스럽고
제일 마음에 드는건 Dolby Atmos 지원 4개의 스피커에서 쏴주는 음향이 너무나 매력 만점  같네요 제것도 하나 더 구매하고 싶어 지는 제품입니다",3.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/e1c18819-c7cc-4672-8427-4b0daaf17f95.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/83dae524-bbb5-4220-8a1b-8e0e4707b192.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/f1afd104-e75b-402e-a5b4-d2fa5b6f6697.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/6908c6a5-c398-439f-8527-c5f84909c143.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/e9a075b6-cc24-4848-8e01-13b8efa4f018.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/3e1bfc96-e398-43a8-9ff1-7498639d2f2f.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/3/7735555600574322554/be95de86-5452-4a9f-aae8-1cc033da07aa.jpg"
5,5,2024.08.25,피카튜999,화면도크고 좋다 장점이 많은 태블릿PC,"화면도 크고 좋구요 유튜브도 2160까지 재생되는것 확인했습니다
피디에프뷰어나전자책  유튜브머신 넷플릭스머신으로 딱입니다
키보드와 마우스 연결해서 노트북처럼 사용가능하구요
sd카드 최대 1tb까지 장착가능해서 추가 용량확보가 좋습니다
또 블루트스이어폰 배터리가 다닳앗을때 유선이어폰으로 연결해서 듣을수있어서 좋아요
대학생같은경우
구글클래스룸으로 수업듣는것도 가능합니다
또한 구글독스로 문서작업하는것도 편리합니다",13.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/a86ee690-f4a9-4b94-a127-6b54929b501c.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/292c5f47-aa36-4273-9c6e-c77240c5a5b8.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/e0907fd0-0b4d-405e-8523-2daab74e4435.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/d5886fea-9dde-4e82-a0e2-ec0d5864c91f.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/d7b9c441-dc6d-4556-8432-db13b22703fe.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/16fbfc64-2d35-4e79-9e22-acc3855d0684.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/28197f7c-2446-405b-ad0c-01c28c163d04.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/6dc9d1c1-035c-425d-b946-a7c0845a2581.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/25/8083861351815549507/300f6088-d4aa-4864-b8f0-8d3404255444.jpg"
6,5,2025.06.01,김*승,"음질 및 터치감은 불만족, 영상 화질은굿!","고민을 정말 많이하고 구매한 제품입니다. 처음에 갤럭시탭 S10 FE 플러스를 구매 하려고 했는데, 솔직히 구매 목적이 영상을 통한 일본어 및 영어 공부용으로 구매 하려 했기 때문에 그 금액을 투자 하기에는 너무나 아까 웠습니다.
집에 현재 iPad M1 11 인치가 있지만 조금 더 큰 화면의 목말라 있었기에 12인치 이상을 꼭 사고 싶었고,샤오신패드와 비교하다가 글로벌 롬으로 출시된 안정적인 사용감을 선택 하게 되었습니다.
솔직히 음질은 너무 별로이고 120헤르츠의 터치감을 기대 했지만 이 역시 성능이 따라오지 못 하는 거 같아 아쉽지만, 영상 화질은 YouTube 4K 화질 지원 하고 쿠팡플레이 및 Netflix 풀HD 화질로아주 만족스럽게 사용 중에 있습니다.
말 그대로 영화 감상용으로 사용 목적이시라면 강력 추천 드리고 싶네요.",,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/1/482229888077746149/e6aa9679-b227-4aee-a101-5548afa5c9d0.jpg
7,5,2025.06.16,나*라,아주 만족합니다,"쓰던 노트북이 고장나서 급하게 구매했습니다. 문서편집용으로 하나 필요했는데 아주 괜찮네요. 화질좋고 크고 성능도 이가격에 이정도면 만족할만 합니다. 다만 생각보다 진짜 크니까 편의성을 중요시 하신다면 고민한번 해보시구요. 영상감상용으로는 아주 좋네요. 게임은…적당히 돌아는 가는데 폰으로 하는게 더 낫지 싶습니다. 한달 동안 써봤는데, 급하게 산것치고는 아주 만족합니다.",,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2299106242125825307/1082c913-fb1f-42e6-881c-a8caef798261.jpg
8,4,2025.06.18,김*민,게으른 자의 유튜브 머신,"레노버 사서 반글화 글로버롬 올리는게 귀찮아서
샤오미 정발 샀는데 영상보는것만 한다면 상당히 좋은 선택인 것같음
단점으론 스피커가 별로 개인적으론 돌비 끄는게 더 좋게 들림
유선 이어폰 쓰는 사람이라면 3.5 이어폰 단자가 있어서 활용 가능
가격만 조금 더 내리면 가성비 좋을듯",,
9,5,2024.07.15,박*기,"웹툰, 넷플릭스용으로 구매했습니다.더 성능 좋고 더 저렴한 직구 제품들이 있지만 다 화면밝기가 400니트 이하더군여.정발제품 중에 가격이나 성능, 특히 디스플레이 밝기가 그나마 무난한 제품이 이거 같습니다.1시간 정도 만져본 결과로는 버벅대거나 하는 건 못느끼겠고세로로 놓고 좌우 화면 분할되는 건 갤탭과 동일합니다.아이패드를 안 사는 이유 중에 하나가 세로 상태에서 좌우 화면 분할이 되지 않는 건데 이건 화면분할 기능은 쓸만하군요.그냥 구글 안드로이드 기본 기능인가 싶기도 합니다만....받자마자 샤오미 앱 전부 삭제하고, 샤오미 업데이트 꺼놓고 사용합니다.브라우저, 갤러리 등 어플은 삭제가 안되어 권한없는 상태로 폴더 하나 만들어서 넣어놨습니다.갤탭과 다른 점은 샤오미 업데이트와 구글 업데이트로 분리가 되어있어 각각 할 수 있다는 점... 나름 좋은가? ㅋㅋ기본 런처가 진짜 기본 기능만 있어서 좀 불편합니다.갤탭 굿락이 생각나게 만드는 지점인데....쓸만한 런처를 찾아봐야겠습니다.다른 건 모르겠고 컨텐츠 소비용으론 강추합니다. 할인할 때 사세여","웹툰, 넷플릭스용으로 구매했습니다.
더 성능 좋고 더 저렴한 직구 제품들이 있지만 다 화면밝기가 400니트 이하더군여.
정발제품 중에 가격이나 성능, 특히 디스플레이 밝기가 그나마 무난한 제품이 이거 같습니다.
1시간 정도 만져본 결과로는 버벅대거나 하는 건 못느끼겠고
세로로 놓고 좌우 화면 분할되는 건 갤탭과 동일합니다.
아이패드를 안 사는 이유 중에 하나가 세로 상태에서 좌우 화면 분할이 되지 않는 건데 이건 화면분할 기능은 쓸만하군요.
그냥 구글 안드로이드 기본 기능인가 싶기도 합니다만....
받자마자 샤오미 앱 전부 삭제하고, 샤오미 업데이트 꺼놓고 사용합니다.
브라우저, 갤러리 등 어플은 삭제가 안되어 권한없는 상태로 폴더 하나 만들어서 넣어놨습니다.
갤탭과 다른 점은 샤오미 업데이트와 구글 업데이트로 분리가 되어있어 각각 할 수 있다는 점... 나름 좋은가? ㅋㅋ
기본 런처가 진짜 기본 기능만 있어서 좀 불편합니다.
갤탭 굿락이 생각나게 만드는 지점인데....쓸만한 런처를 찾아봐야겠습니다.
다른 건 모르겠고 컨텐츠 소비용으론 강추합니다. 할인할 때 사세여",10.0,
10,5,2025.06.12,이*원,이 가격에 말이 안됩니다,이 정도 칩셋과 디스플레이 그리고 각종 인증(dolby 등)을 고려하면 안사면 손해 아닌가 싶습니다.,,
