rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.01.17,정*희,"대체로 만족합니다.갤탭이 고장나서 중고로 살까하다가 어차피 취침전 유튭이나 ott 시청용으로만 쓸거라 저렴이로 알아봤어요. 탭이 고장난 후 코딱지만한 구형 폰 화면으로 ott 보는게 너무 힘들더라구요.폰보단 크면 되고 그렇다고 너무 클 필요도 없이 휴대하기에도 편한 적당한 사이즈로, 그래도 샤오미가 낫지 않을까 하고 고르다 보니 이 제품이 나오더군요.화질은 가격이 있다보니 큰 기대는 없고(화질을 비교해서 알아볼 만한 눈도 없어요 ㅋ), 구매 목적인 유튭이나 넷플만 잘 돌면 그만이죠. 개봉방지스티커 잘 붙어서 왔고, 무게는 사이즈에 비해 무겁다고 느껴졌어요.중고로 샀으면 배터리 사용시간이 짧을 수도 있고, 충전단자도 5핀 구형모델이 걸렸을지도 모르죠.이 제품은 c타입 충전으로 짱 편하고, 새제품이니 당연히 배터리 사용시간이 길어서 좋아요. 기본적으로 유튭, 넷플, 틱톡 앱이 깔려 있어요. 디자인은 별다른 건 없는데, 저는 사용하지 않을 그 카메라 디자인이 너무 구려요. 가격변동 지켜보다가 앞자리가 바뀌면 냉큼 득템하시길 ㅎㅎ(2025.5.8 와우~ 앞자리 숫자가 바뀐게 아니라 숫자 개수가 줄었네요. 이거 살까말까 고민중이시면 지금이에욧)더 써봐야 알겠지만 첫느낌은 가격대비 만족이에요. 제가 둔해서 그럴 수도 있고 아님 화면이 작아 티가 덜나서 그런가 암튼 화질이 안좋단 느낌없이 막눈인 저는 만족합니다. 좀 빠릿빠릿하지 못하면 어떠하리, 십 살짝 넘는 가격으로 이정도면 퍼펙트하다고 생각해요. 부디 오래오래 함께만 하자 ㅋ","대체로 만족합니다.
갤탭이 고장나서 중고로 살까하다가 어차피 취침전 유튭이나 ott 시청용으로만 쓸거라 저렴이로 알아봤어요. 탭이 고장난 후 코딱지만한 구형 폰 화면으로 ott 보는게 너무 힘들더라구요.
폰보단 크면 되고 그렇다고 너무 클 필요도 없이 휴대하기에도 편한 적당한 사이즈로, 그래도 샤오미가 낫지 않을까 하고 고르다 보니 이 제품이 나오더군요.
화질은 가격이 있다보니 큰 기대는 없고(화질을 비교해서 알아볼 만한 눈도 없어요 ㅋ), 구매 목적인 유튭이나 넷플만 잘 돌면 그만이죠. 개봉방지스티커 잘 붙어서 왔고, 무게는 사이즈에 비해 무겁다고 느껴졌어요.
중고로 샀으면 배터리 사용시간이 짧을 수도 있고, 충전단자도 5핀 구형모델이 걸렸을지도 모르죠.
이 제품은 c타입 충전으로 짱 편하고, 새제품이니 당연히 배터리 사용시간이 길어서 좋아요. 기본적으로 유튭, 넷플, 틱톡 앱이 깔려 있어요. 디자인은 별다른 건 없는데, 저는 사용하지 않을 그 카메라 디자인이 너무 구려요. 가격변동 지켜보다가 앞자리가 바뀌면 냉큼 득템하시길 ㅎㅎ(2025.5.8 와우~ 앞자리 숫자가 바뀐게 아니라 숫자 개수가 줄었네요. 이거 살까말까 고민중이시면 지금이에욧)
더 써봐야 알겠지만 첫느낌은 가격대비 만족이에요. 제가 둔해서 그럴 수도 있고 아님 화면이 작아 티가 덜나서 그런가 암튼 화질이 안좋단 느낌없이 막눈인 저는 만족합니다. 좀 빠릿빠릿하지 못하면 어떠하리, 십 살짝 넘는 가격으로 이정도면 퍼펙트하다고 생각해요. 부디 오래오래 함께만 하자 ㅋ",46.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/081a7029-46d7-46b6-b66c-bc87c31b9d40.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/1a90ea0d-fcf7-4b9f-ad8d-5ba5a0272e2b.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/57f1385d-7644-4362-a2aa-7a2b08d1fe2e.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/f0439fe6-2365-467d-a0b4-15e3e07b83a7.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/a767ff2b-a085-4491-8e4e-c8f9d6f39e83.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/e6c6ca54-927d-45cf-8b38-75a93b7db9ad.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/db339c46-382e-453a-9c54-aded0af517f7.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/17/8953754053322146081/10a059e0-ea55-4f2f-a024-fcdf6b09a24b.jpg"
2,5,2025.05.03,토종마늘신,역시 샤오미  실망시키지 않아요,"●구매이유
쓰던 갤탭이 고장이 나서 남편 선물로 샀습니다.
●장점
1》가격대비 만족스러워요.
가격이 갤탭이나 기타 다른 기기에 비해 저렴한데에 비해 다른 것들이 모두 만족스러워서
가성비 대박이라는 생각이 듭니다.
2》화질이  괜찮습니다.
넥플렉스로 영화를 본다거나 유튜브 볼때나 화질이 깔끔하니 선명하게 잘나와서 만족스러워요.
가끔 아이들 인강들을때도 이걸로 해줬는데 별 문제없이 좋습니다.
3》휴대성이 우수합니다.
가볍게 들고 다니기 좋은면서 여기저기 여행갈때나 카페갈때 아이들 조용하게 시키는데 효자상품입니다.
●단점
1》음질이 조금 떨어지는 느낌은 있는데요,
사실 이것도 가격대를 생각하면 불만족 스럽지는 않습니다.
저는 가성비 대비 너무 만족을 하기에 괜찮다고 생각합니다.
● 재구매 의향
그냥 가성비에 대비 너무너무 괜찮은 제품이라고 생각해요.
물론 더 좋은 사양의 제품이 분명히 있겠으나 그 제품은 가격이 혜자이지는 않기에
적당히 괜찮고 엄청난 불편이 아니라면 휴대성과 왠만한걸 다 소화하는 이 제품 저는 재구매 의향이 있습니다.
저의 상품평이 도움이 되셨으면 하는 마음으로 정성껏 작성했습니다.이걸 보신분이 밑의 도움이돼요 버튼 누르시면 다음날  저에게 취합된 문자가 오는데 많을땐 쾌감이 있고9 기분좋더라고요. 그래서 제 시간을 많이 들여 정성껏 썼습니다.
도움이 조금이라도 되셨다면 밑에  한번 꾸욱 부탁드려요^^
누르신 분들 모두 로또가 될 것입니다. 감사합니다.",33.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/3/4070668918790155961/c7c09c05-0309-480d-8bf5-4796bb4f1b49.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/3/4070668918790155961/76d8987d-15b7-4431-ac69-a807e0847ec7.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/3/4070668918790155961/8d491d94-df28-48a5-8b09-f785a75fe411.jpg"
3,5,2024.11.17,김보성,"1️⃣ 구매이유: 레드미 패드 프로와 레드미14c를 구매하면서 이것도 신제품이니 구매해보고 싶다고 생각해서 구매를 결정했습니다. 또한 알바 할 때 12인치는 휴대하기가 불편하다보니 작은게 있음 좋겠다 싶었는데 8인치대라서 휴대가 용이해서 구매 결정!2️⃣ 이 제품을 고른이유: cpu가 보급형이다보니 4기가 램으로도 충분할거라고 생각해서 4기가 모델로 선정했습니다.3️⃣ 장점1. 휴대성-  가볍게 들고 다니기 좋으면서도 적당한 음질, 이어폰 단자, 적당한 화면크기로 들고다니기 좋습니다.2. 가격- 14만9천원이라는 합리적인 가격으로 아이들 영상용으로도 좋을 것 같습니다.3. 성능- 웹서핑이나 영상재생에 있어서는 큰 버벅임 없이 사용이 가능합니다.4. 밝기- 최대 600nit 까지 올라가서 카페같이 외부에 들고 다니면서 사용해도 밝기가 아쉬운적은 없었습니다 ㅎㅎ4️⃣ 바라는 점1. 해상도- 다음 제품이 나온다면 좀 더 해상도가 높으면 좋을 것 같습니다. 지금도 크게 불편한 건 아니에요!5️⃣덧붙이는 말가볍게 들고 다니기 좋은 제품으로 아이들 영상용이나 알바할 때 들고다니기 좋네요 ㅎㅎ6️⃣총평: 1인 1태블릿이 많이 보급되는 시대에 좋은 아이템❤️제품 선택에 도움 되셨다면 ""도움이돼요"" 부탁드립니다❤️","1️⃣ 구매이유: 레드미 패드 프로와 레드미14c를 구매하면서 이것도 신제품이니 구매해보고 싶다고 생각해서 구매를 결정했습니다. 또한 알바 할 때 12인치는 휴대하기가 불편하다보니 작은게 있음 좋겠다 싶었는데 8인치대라서 휴대가 용이해서 구매 결정!
2️⃣ 이 제품을 고른이유: cpu가 보급형이다보니 4기가 램으로도 충분할거라고 생각해서 4기가 모델로 선정했습니다.
3️⃣ 장점
1. 휴대성
-  가볍게 들고 다니기 좋으면서도 적당한 음질, 이어폰 단자, 적당한 화면크기로 들고다니기 좋습니다.
2. 가격
- 14만9천원이라는 합리적인 가격으로 아이들 영상용으로도 좋을 것 같습니다.
3. 성능
- 웹서핑이나 영상재생에 있어서는 큰 버벅임 없이 사용이 가능합니다.
4. 밝기
- 최대 600nit 까지 올라가서 카페같이 외부에 들고 다니면서 사용해도 밝기가 아쉬운적은 없었습니다 ㅎㅎ
4️⃣ 바라는 점
1. 해상도
- 다음 제품이 나온다면 좀 더 해상도가 높으면 좋을 것 같습니다. 지금도 크게 불편한 건 아니에요!
5️⃣덧붙이는 말
가볍게 들고 다니기 좋은 제품으로 아이들 영상용이나 알바할 때 들고다니기 좋네요 ㅎㅎ
6️⃣총평: 1인 1태블릿이 많이 보급되는 시대에 좋은 아이템
❤️제품 선택에 도움 되셨다면 ""도움이돼요"" 부탁드립니다❤️",27.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/17/1433772446164379115/03a81c8c-ab9f-48f9-872c-fa480ff73dea.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/17/1433772446164379115/75b420a5-f60b-42f4-b8a1-336912d62fa0.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/17/1433772446164379115/5d42b894-b6ec-4210-bba6-34e21244e0bf.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/17/1433772446164379115/f7f26966-2ff3-4c39-b9db-b60a425e9404.jpg"
4,5,2025.02.23,김*구,가격대비 좋습니다,"☆장점
가격  대비 좋습니다
1ㆍ유트브 시청   깔끔하게 잘 나옵니다
2ㆍ넷플릭스 시청 깔끔하게 잘 나옵니다
3ㆍ기타 동영상 시청 깔끔하게 잘 나옵니다
4ㆍ인터넷   와이파이가 잘되면 바로 바로 됩니다
5ㆍ터치 감도 속도는 무난하게 잘 됩니다
미세하게 느린감도 있지만 가격을 생각하면 만족할 정도입니다
6ㆍ배터리는 동영상ㆍ만화ㆍ소설등으로는 오래갑니다
7ㆍ케이스는 구입하지 마시고 사용하세요
듬직한 맛이 있어요  튼튼한 이 느낌!!
1년정도  사용하시다 좋은 가성비 태블릿으로 갈아 타세요 중고로 판매하시면 됩니다
☆단점
1.30분정도 적응해야합니다
무난해서 근방 적응해요
2.태블릿이 무게감이 있어요
불편한 정도는 아니지만
어라?!  무게좀 있구만 이정도예요
3.카메라 성능  장식용으로 생각하시길
무난하게 찍힘
4.추운 곳에서는 터치감이 많이 떨어집니다
실내용으로 쓰시길
☆결론
영화ㆍ동영상ㆍ인터넷ㆍ만화보기등으로 강력하게  추천드립니다
게임 불가
게임용으로는 갤럭시탭 s6을 구매하시길!",15.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/8412431404924434352/5f0f33fc-fda3-4c3b-b03f-4036daccea23.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/8412431404924434352/42867974-bc08-4e23-a6c8-74acb9cf8b79.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/8412431404924434352/f0714d25-358b-4d65-b056-4eabf0040279.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/8412431404924434352/ab936b23-1f46-4473-b334-d7d34279be8b.jpg"
5,5,2025.05.10,도라애몽몽,가성비 좋은 제품,"쿠폰 할인 해서 8만원대 구입 했습니다.
이전 8인치 테블릿은 올도큐브 iplay 60 터보 사용 했었는데
확실히 터보 성능이 좋지만 올도큐브는 os 가 구더기입니다
오류도 많고 성능이 좋아봐야 os 가 구더기이니 불편 해서
중고로 팔고 이 제품으로 갈아 탔네요
스팩은 가격대비 구리다 왜 사냐 상품성 없다
안써본 사람들이 하는 말이고요 실제 써보면 느리긴 하지만
최적화가 잘된 느낌이 크고
OTT ,웹툰, 밀리서재 책 읽기 정도 라이트 유저에겐
좋은 제품 같습니다 OS 와 최적화가 잘되서 그런지 라이트하게 사용하시는 분들에게는 크게 부족함은 없는 느낌입니다
무엇보다 재생률도 90hz 이기 때문에 눈이 편안합니다
돌비애트모스 사운드와 넉넉한 베터리가 장점 같네요
os 는 올도큐브나 타사 제품 보다
하이퍼 샤오미가 사용해보니 훨씬 사용하기 좋습니다
직접적인 게임 돌리는 용도도 픽셀 인디 게임 정도는
플레이 가능한 수준이고 무거운 게임은 힘듭니다
(사진은 gamesir x5 lite)
네트워크 환경이 중요한 사양을 크게 타지 않는 플스 리모트 플레이는 쾌적합니다 현재 잘 사용하고 있습니다
무엇보다 가격이 8만원대에 내수 정발 제품이면
보증기간도 있고 그냥 다 용서 됩니다",11.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/10/6072217401781785470/90a7097a-9cf3-4c0d-b0bb-15578afcc142.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/17/6072217401781785470/baa7a359-f23f-4a8a-8584-e32dca5b6a4e.jpg"
6,5,2025.01.07,별별걸,8살 오빠덕에 태블릿을 갖게된 6세 아이의태블릿,"오빠의 늙어버린 태블릿을 교체해주게되어
이른나이에 태블릿을 하나 장만해주게됐습니다..
전문적인 지식은 없기에 그냥 애기엄마로써
가장 주관적이지만 어쩌면 꽤나 대중적일수있는 리뷰남겨봅니다
이전에 쓰던 태블릿이 10.x인치였는데
조금 크지않나싶어서 크기를 조금 줄여 선택해봤습니다
너무 작은 화면이 아이를 너무집중시킨다기에
큰 화면을 선택했던거였는데
오히려 아이가 사용하는 모습이 부담스러운점이 이유였습니다
결과적으로 아이손에 잘 맞는다는 생각이 드는 크기인점이마음에듭니다
갤럭시, 아이폰에 익숙해서 샤오미의 컨트롤 방식이 어색하게 다가와, 2주정도 사용했으나(아이것을 도와주는 정도)
가끔 헤매입니다
애초에 아이의 사용량도 하루10분이기에
제가 만지는 시간은 더 적어 손에익질않아
머지않아 이 태블릿은 내아이가 더 잘쓰겠구나싶습니다
속도는 생각보다 나쁘지않고
아이가하는것은 유튜브나 ott, 색칠놀이가 전부기에 사양차이가 크게 와닿지않습니다
음질은 역시나 실망스러운수준이지만
가격대를 생각하면 합리적인 음질이라는 생각이들고
터치감역시 뛰어나지않지만
거부감이들정도는 아닌 수준입니다
(남편에 비하면 제가 기기의 감들에 둔감한것같긴합니다)
가격대비 훌륭한 선택이었다는 생각은 들지만
다만 한가지아쉬운점이라면
여타 액세사리들의 선택폭이 너무 작고 아쉽습니다
여태 모두가 갤럭시 애플 쓰는 세상에 살고있었구나싶습니다
향후 태블릿이 작살나거나
고학령이되어 공부에 태블릿이 꼭필요한 시기가오지않는다면
더이상 아이들에게 새 태블릿을 쥐어줄 마음은 없기에
샤오미 태블릿을 다시 구매할지는 모르겠습니다
만약 심각한 고장으로 다시 구매하게된다면
다른 저가형 태블릿을 찾아보거나
공부를 위해 구매한다면 괜찮은 녀석을 찾아보겠죠
그러나 다른 아이키우는 부모가
‘어? 갤탭아니네 우리아이것도 새로사야하는데 이거괜찮아?’라고하면 바로 추천해줄수는 있을 정도라고봅니다",14.0,"https://video.coupangcdn.com/cloud/PRODUCTREVIEW/202501/7/8179243655219031476/e6fa86cd-404c-437b-ad83-5cbb6376e151/transcode/thumbnail-00001.png,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/8179243655219031476/1d529d06-e088-463e-87e1-dee35cbb9086.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/8179243655219031476/ff5610fc-6ee6-40fd-a05b-eb1a3d97d47b.jpg"
7,5,2025.06.17,Joyelll,"다둥이네 필수품, 저렴해서 더 맘에들어요","삼남매집 필수품(?) 패드... 막내가 크면서 패드가 부족해져 급히 알아보고 주문했어요ㅠㅠ
✔️음질
아이들이 영상 볼 때 소리가 또렷하고 깔끔해서 좋아했어요. 너무 시끄럽거나 울리지 않아서 귀에도 부담 없었답니다.
✔️성능 대비 가격 저렴
4GB 램, 64GB 저장 공간에 이 가격이라니 정말 가성비 최고예요. 아이용 태블릿으로 부담 없이 선택할 수 있어서 마음에 들었어요.
✔️배터리 사용 장시간 가능
배터리가 오래가서 하루 종일 집에서도, 외출할 때도 충전 걱정 없이 쓸 수 있었어요. 덕분에 아이가 원하는 만큼 영상 시청이 가능했어요.
✔️가벼워서 휴대성 좋음
8.7인치라 크기도 적당하고 무게도 가벼워서 아이가 들고 다니기 편했어요. 휴대하기 부담 없는 사이즈라 더 좋았어요.
✔️화질 좋음
화면이 선명하고 부드러워서 아이들이 보는 영상이 정말 깨끗하게 잘 나왔어요. 눈이 편안해 보여서 안심이 되었답니다.",3.0,
8,5,2025.06.24,카우해,갤럭시탭을 구매할까 아이패드를 구매할까 하다가그렇게 많이 사용도 안하는데 투자할 필요가 있나 싶어 샤오미 패드로 구매했어요처음에 세팅할때 좀 오래걸리고 버벅거림이 있나 싶었지만세팅을 다 하고 사용하려고 하니 버벅거림 없이 수월 합니다.가성비로 영상 시청용으로 게임용으로 필요하다 싶으면 구매해도 좋을 것 같아요카메라 화질이나 음직이 그렇게 좋은 편은 아닙니다.,"갤럭시탭을 구매할까 아이패드를 구매할까 하다가
그렇게 많이 사용도 안하는데 투자할 필요가 있나 싶어 샤오미 패드로 구매했어요
처음에 세팅할때 좀 오래걸리고 버벅거림이 있나 싶었지만
세팅을 다 하고 사용하려고 하니 버벅거림 없이 수월 합니다.
가성비로 영상 시청용으로 게임용으로 필요하다 싶으면 구매해도 좋을 것 같아요
카메라 화질이나 음직이 그렇게 좋은 편은 아닙니다.",,
9,5,2025.06.08,김*철,가성비 지림,"너무 만족하네요 삼성꺼만 쓰다가 이거쓰려니 ui 살짝 적응 안되긴하지만 익숙해질듯합니다
일반 8.7인치 첨 써보는데 휴대성 좋네요
화면크기도 적당하고 게임용으로는 좀 버겁고 유튭 넷플릭스 같은 영상으로는 대 만족이네요
선택 잘한거 같아요",2.0,
10,5,2025.06.20,이*우,그 가격에 알맞은 상품 입니다... 기존 삼성 탭이랑 다르게 UI  방향이 조금 달라서 불편하긴 한데 익숙해지면 괜찮을 거 같습니다.. 가격 대비 성능은 좋습니다..,그 가격에 알맞은 상품 입니다... 기존 삼성 탭이랑 다르게 UI  방향이 조금 달라서 불편하긴 한데 익숙해지면 괜찮을 거 같습니다.. 가격 대비 성능은 좋습니다..,,
