rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.03.18,이*솜,두개 삿는데 솔직히 하나 더사고 싶어요,"최고예요
머리카락도 알아서 끈어줘서 일일이
휠청소 안해도 돼구요~~~
한국판 한국말 지원
물통이 커졌고 걸레 걸이도 오래 쓰게끔 되어 있어요 이거사고
하나 더 바로 구입했어요!!",9.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/8b4fcce4-475a-4c3f-aa20-4605458a9a98.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/120b52f3-d5eb-4f8a-a6ee-c597874d714e.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/70c9891a-69f2-4a1b-9ef5-1afb1b45418f.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/b7b83032-5e8d-4c1f-b60e-e02f1a99a0a1.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/80f5e892-ab41-4604-8b40-205d4bd08d55.jpg"
2,5,2025.06.02,깔끼하네v,좋아요,"1세대 구매해서 5년넘게 쓴적이있어서
두번째 로봇청소기도 샤오미선택
조금 버벅거려서 짧게 돌리면안되고 저는 풀가동 시킵니다
흡입력은 아주 좋아요 동전도 삼킵니다",3.0,
3,4,2025.03.25,이*숙,성능 좋음. 만족함.안내멘트 음량이 너무 커서 거슬림.소음이 큼. 가성비 때문에 그냥 씀.성능과 가성비는 좋음.대체로 만족.,"성능 좋음. 만족함.
안내멘트 음량이 너무 커서 거슬림.
소음이 큼. 가성비 때문에 그냥 씀.
성능과 가성비는 좋음.
대체로 만족.",7.0,
4,5,2025.03.05,이*연,가성비좋아요,나름 만족해요 이정도 가성비에 깨끗하게 청소하는것같아요  무선청소기쓰다가 엄청편해졌어요 잘산것같아요 오래오래썼으면해요,5.0,
5,1,2025.04.29,이*경,맵핑 안되는 무의미한 로봇청소기,,,
6,5,2025.03.16,이*솜,가격 말해모해 입니다 최고,"최고예요
머리카락도 알아서 끈어줘서 일일이
휠청소 안해도 돼구요~~~
한국판 한국말 지원
물통이 커졌고 걸레 걸이도 오래 쓰게끔 되어 있어요 이거사고
하나 더 바로 구입했어요!!",8.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/577ec399-4319-4b5d-ba22-a8f1115096d8.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/5b70b137-ac12-4e4f-b441-b9bbaa5f780e.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/839c78a9-dfa2-47b8-a2b8-dd9807e05651.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/91b072f6-714c-4226-9090-9a273d74aa62.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/cc00225b-81c8-47f5-a46f-da1c65d31d14.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/18/8463538579434194440/39376cca-02c7-412b-be6d-50a32b284ebf.jpg"
7,5,2025.07.03,권*희,,,,
8,4,2025.06.10,임*정,,,,
9,5,2025.06.05,정*원,,,,
10,4,2025.06.04,김*아,,,,
11,4,2025.06.03,최*선,,,,
12,4,2025.05.27,김*아,,,,
13,5,2025.05.21,표*성,,,,
14,5,2025.05.07,유*선,,,,
15,5,2025.04.18,천*홍,,,,
16,5,2025.03.30,최*림,,,,
17,5,2025.03.16,양효순,,,,
18,5,2025.03.01,안*주,,,,
