rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.14,윤*현,사용하기 편리하고 가성비 좋은 똑똑한 로봇청소기,"중국 생활중 샤오미 청소기 1세대 중에서도 가장 심플한 모델을 2018년부터 써왔는데, 최근 오작동이 반복되고 시끄러워서 폐기함.
로봇이 없으니 침대 밑 청소가 걱정되어, 이번에도 가성비와 편의성 생각해서 심플한 모델로 구매함.
걸레 빨아주는 모델도 있다고 하는데, 손으로 빨고 햇빛에 말려도 냄새가 날때는 락스처리해야 했으므로 염두에 두지 않았음.
몇년전 시댁에 사드린 샤오미는 먼지통, 물통, 걸레 일체형이라 좀 불편한 것 같았는데, 이번에 사보니 다 분리되어 있어 좋음. 청소후 걸레패드 분리해서 빨아 말리면 됨.
센서기능이 확실히 개선되어, 빼놓지 않고 반복없이 청소하니 청소시간도 예전에 1시간 걸렸는데 44분만에 끝냄 (34평 아파트)
손으로 걸레 빨고 때때로 먼지 버리고 물채우는 것이 괜찮다 생각되면 이 제품 적극 추천합니다.
다년간 로봇청소기 사용경험상, 깨끗이 관리하면서 청소 공간을 잘 확보해 주고 일정하게 유지하는 것이 고장 없이 오래 쓰는 방법인듯 합니다.  이상!",,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/7048876637077105369/1ddb5f2c-4052-4487-aea0-b3c383c16726.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/7048876637077105369/04716968-6562-44bd-bf42-fc8c9a01c8c9.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/7048876637077105369/c7b0a8e9-97d3-4fd8-a9e6-2c1b40e810be.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/7048876637077105369/c11b2b6e-7db8-45d0-b20e-d2b85a50161e.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/7048876637077105369/2cdf4005-5974-42ba-814c-d9c4cf32117a.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/14/7048876637077105369/65d187ac-f3e8-4123-9618-2b9be7ca727b.jpg"
2,4,2025.03.14,신지짱,로봇청소,"로봇청소기 찾다가 지인이 샤오미 괜찮다고 하길래 주문했어요.
우선 걸레질 하기 힘들어서 같이 되는걸루 알아보던 중이었습니다.
살짝 걱정이 되긴 했는데 그래도 함 사보자싶어 ㅋㅋ
받자마자 뜯어서 설치
설치라고 할껀 없어요
무잔장 간단합니다.
돌아댕기면서 입력하는듯 했어요.
위치 알아두고 돌아다니면서 청소 잘 하네요
어플 깔아서 편하게 청소 시킬 수 있어요
물 뿌려가며 물청소도 잘 합니다.
매트쪽엔 물 안 뿌려요 ..똑똑하네요 ㅋㅋㅋ
이틀 써본 결과 만족합니다.
쿠팡서 10프로 할인해서 사서 가격도 맘에 들어요
통 비우는데 먼지 장난 아니게 나오네요
확실히 청소하긴 하나봐요 ㅋㅋㅋ
걸레가 좀 작긴해요~~
빼서 그냥 헹구어주고 말렸습니다.",5.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/14/1029816476983488851/3b3a0bbd-6370-4da1-8c56-5c0f1ff47994.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/14/1029816476983488851/3d157c23-d6c2-45a7-97a0-f4db106474f3.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/14/1029816476983488851/7312fa1d-3ddb-4279-90d9-d6783d1b4d58.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/14/1029816476983488851/c446dd71-17e3-458e-9ad5-f76ebd9ad1f7.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/14/1029816476983488851/46792d54-848b-46c7-9c71-96b9a29821d6.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/14/1029816476983488851/e6794b0a-2594-4c94-9846-74baa604cb56.jpg"
3,5,2025.06.10,김*윤,샤오미 1세대 쓰다가요즘 이모님 기력이 많이 없어 보이셔서 안방만 담당하시라 보내드리고새로운 인턴을 찾아보았습니다.저의 조건은.1. 물걸레 자동세척기능 없을 것. 세척은 세탁기가. (써보신 분은 알 거예요. 걸레는 그냥 여러개 사서 쓴건 널어서 말려놨다가 일주일에 한번 과탄산 넣고 팍팍 삶음빨래 하는 것이 냄새 안 나게 하는 방법입니다. 편리하기도 하고요.)2. 물걸레가 달렸다면 회전형일 것! (이것도 물걸레청소기 써보신 분 알거예요. 물걸레가 회전하지 않으면 그냥 물만 묻히고 지나가는 거예요. 전혀 안 닦여요.)3. 30평 청소하는 데 무리없는 배터리4. 흡입력 600Pa 이상.그러다 샤오미에서 또 적당한 모델을 찾게 되었네요.가격도 너무너무 착했고요.1세대를 구입하고 8년 넘게 썼으니 믿음직하기도 했습니다.결론은! 일 너무너무 잘합니다. 그사이 어플도 많이 발전했네요.,"샤오미 1세대 쓰다가
요즘 이모님 기력이 많이 없어 보이셔서 안방만 담당하시라 보내드리고
새로운 인턴을 찾아보았습니다.
저의 조건은.
1. 물걸레 자동세척기능 없을 것. 세척은 세탁기가. (써보신 분은 알 거예요. 걸레는 그냥 여러개 사서 쓴건 널어서 말려놨다가 일주일에 한번 과탄산 넣고 팍팍 삶음빨래 하는 것이 냄새 안 나게 하는 방법입니다. 편리하기도 하고요.)
2. 물걸레가 달렸다면 회전형일 것! (이것도 물걸레청소기 써보신 분 알거예요. 물걸레가 회전하지 않으면 그냥 물만 묻히고 지나가는 거예요. 전혀 안 닦여요.)
3. 30평 청소하는 데 무리없는 배터리
4. 흡입력 600Pa 이상.
그러다 샤오미에서 또 적당한 모델을 찾게 되었네요.
가격도 너무너무 착했고요.
1세대를 구입하고 8년 넘게 썼으니 믿음직하기도 했습니다.
결론은! 일 너무너무 잘합니다. 그사이 어플도 많이 발전했네요.",,
4,5,2025.04.12,찜콩,3번째 로봇청소기 사용중인데 여지껏 사용했던 것중에 소음이 젤 작아요 이정도면 거의 머 없는 수준;;;;;핸드폰이랑 연동해서 사용하니 편하고 일반청소 모드로 해도 청소구역 알아서 스캔해서 편하네요 음성이 첨에 영어라 당황했지만 한국어 버전으로 바꿀수 있어요기존에 사용했던 제품들은 걸레가 그냥 슥 지나가는거였는데 이건 돌면서 닦아서 더 잘 닦일거 같아서 구매했어요 ㅎㅎ오늘 첨 사용이지만 꽤 만족스러워요!+전에 사용하던 제품들은 35평 1시간20분 정도 걸렸는데 샤오미는 45분 정도 걸리고 밧데리도 한칸 다네요... 연달아서 3~4번도 돌리겠어요!!,"3번째 로봇청소기 사용중인데 여지껏 사용했던 것중에 소음이 젤 작아요 이정도면 거의 머 없는 수준;;;;;
핸드폰이랑 연동해서 사용하니 편하고 일반청소 모드로 해도 청소구역 알아서 스캔해서 편하네요 음성이 첨에 영어라 당황했지만 한국어 버전으로 바꿀수 있어요
기존에 사용했던 제품들은 걸레가 그냥 슥 지나가는거였는데 이건 돌면서 닦아서 더 잘 닦일거 같아서 구매했어요 ㅎㅎ
오늘 첨 사용이지만 꽤 만족스러워요!
+전에 사용하던 제품들은 35평 1시간20분 정도 걸렸는데 샤오미는 45분 정도 걸리고 밧데리도 한칸 다네요... 연달아서 3~4번도 돌리겠어요!!",1.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/12/571501017092625598/fcb2915e-0037-4a92-ba0e-1beaebf5b1d9.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/13/571501017092625598/acb9b12e-2eeb-46d5-ae12-ffbb8a22751a.jpg"
5,4,2025.03.20,신지짱,두번째 구매,"구매 해서 써보니 가성비 좋길래 부모님댁에 보내드렸다.
일주일 써본 결과
그렇게 시끄럽다는 생각은 안했다
머리카락 먼지는 잘 흡입한다.
물통 가득 물 채우면 거실 방3개 주방까지 3번정도 쓸수있다 .
청소후 로봇 바닥에 먼지 많아 좀 닦아주어야 한다.
고장 안 나고 오래오래 쓰길 바란다.",4.0,
6,4,2025.03.27,신지짱,세번째 구매,"첫구매 후 가성비 짱인듯 해서 추천하게 되고 대신 주문까지 하네요
어플 깔고 전화기로 뭔가가 많아요.
기능도 여러가지고 ㅋㅋ
이거 생각보다 괜찮네요
언어변경 몰라 없는줄 알았는데 이제 찾았네요",,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/27/1029816476983488851/4463575a-62bf-43ec-b413-eb570912c34a.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/27/1029816476983488851/1e9535d7-ba7f-4bdb-a8ca-d17f44c09d35.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/27/1029816476983488851/f02d8bb8-3336-41af-81e1-a86d4481f355.jpg"
7,5,2025.04.25,신*수,"여짓것 걸래질한것 땅을치고 후회합니다,","여짓것 걸래질한것 땅을치고 후회합니다,",1.0,
8,5,2025.05.27,김*형,1세대 쓰다 생명이 다해 바꿨는데 기대이상으로 좋네요,,,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/27/6610930878903378748/289bc0b0-259d-4e1d-8860-92555cbff04f.jpg
9,5,2025.06.16,윤*자,연봉 30만원에 무한정 바닥 닦기 청소원 고용,30만원에 평생 바닥 닦기 청소원 고용,,
10,5,2025.07.02,장*주,,,,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202507/2/5635095119251290663/48bfe215-9a0b-4b70-ad97-3b1083c0668c.jpg
