rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.04.21,몰랑유랑단,직구보다 쿠팡구입하세요 꼭이요,"구입하고 2개월 후에 고장이 났어요
인터넷 검색해보면 오류시 체크 및 재작동 가능한 방법들 나와있는데 다 해봐도 안되어서 샤오미 공식 AS 센터에 문의 후 본체만 보냈습니다
얼마 후 센서 불량이고 제품 불량이니 구매처에 문의해보라고 안내를 받고 불량판정서와 함께 제품을 돌려받았어요
쿠팡문의하고 불량판정서 이미지파일 접수하니 바로 교환 또는 환불 가능하다고 안내해주셨어요
샤오미 로청이 센서가 불안정하다는 얘기 많은데 꼭 직구 말고 정식 수입 제품 구매하시고
불량시 교환 환불이 가장 쿨한 쿠팡에서 구입하세요 쿠팡 아니었다면 불량 뽑았을 때 그냥 날리는 거라;; 생각만해도 아찔합니다",20.0,
2,5,2025.04.23,박*훈,"도착하여 3일째 사용하고 있습니다.나는 물론이고, 아내가 많이 신기해 합니다.집안 구석구석 매핑을 끝내고 시키는 데로 청소하고 돌아옵니다.물론, 물걸레의 기능은 흥미롭습니다. 기술의 발전은 어디까지 갈것인가?를 궁금케하는 로봇청소기인것 같습니다.가격대비 성능이 아주 우수합니다.누군가에게도 추천해 주고 싶습니다.","도착하여 3일째 사용하고 있습니다.
나는 물론이고, 아내가 많이 신기해 합니다.
집안 구석구석 매핑을 끝내고 시키는 데로 청소하고 돌아옵니다.
물론, 물걸레의 기능은 흥미롭습니다. 기술의 발전은 어디까지 갈것인가?를 궁금케하는 로봇청소기인것 같습니다.
가격대비 성능이 아주 우수합니다.
누군가에게도 추천해 주고 싶습니다.",9.0,
3,3,2025.06.09,이*주,문제가있어요.,"우선 한달도 안되서 가끔 멈춰있는현상이 있었어요.
다시켜면 정상작동하길래 그냥 썼는데 최근에 센서오류로 스테이션에서 안나가고.
역시 재부팅 하면 다시 동작하더군요.
그런데 자세히보니 앞부분이 다 찍혀있어요.
청소하면서 어디에 계속 박았는지.
as가제일 맘에안드는데
택배보내면 한3주는 걸린다고하니 원
진작이럴줄알았음 환불할것을",7.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/11/1999524889355463302/9cc18917-2d5e-498c-9926-d299c6345834.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/11/1999524889355463302/c4d4e563-9470-4fba-a7b5-052f43679fbe.jpg"
4,5,2025.01.20,이*은,가격대비 아주 좋아요!,,,
5,5,2025.06.13,조*영,,,,
6,5,2025.06.03,홍*강,,,,
7,5,2025.05.29,김*성,,,,
8,5,2025.04.24,Kog** *******,,,,
9,5,2025.04.14,김*나,,,,
10,5,2025.03.28,안*정,,,,
11,5,2025.03.15,이*매,,,,
12,5,2025.02.15,최*정,,,,
13,5,2025.02.12,박*민,,,,
