rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.11,모카,"최근에 샤오미 먼지 진드기 진공 청소기 MJCMY02KR를 구매해서 사용해보고 있는데요, 기대 이상으로 만족스러워서 솔직한 후기를 남겨보려고 해요. 특히 침구 청소나 진드기 제거에 관심 있으신 분들께 정말 추천드리고 싶어요.1. 강력한 흡입력과 진드기 제거 기능가장 인상 깊었던 건 진공 청소기치고 꽤 강력한 흡입력이에요. 제품 자체는 크기가 아담하고 가벼운데, 침구 속 먼지나 머리카락, 보이지 않는 진드기까지 말끔하게 빨아들이는 느낌이에요. 특히 UV 살균 기능과 고온 바람 건조 기능이 함께 작동돼서 위생적으로 사용할 수 있다는 점이 마음에 들었습니다. 이불이나 매트리스 위를 몇 번만 지나가도 먼지통에 먼지가 가득 차는 걸 보면, 평소에 얼마나 많은 먼지가 있었는지 실감돼요.2. 사용이 간편하고 무게가 가벼움본체 무게가 약 1.2kg 정도로 가볍고 그립감도 좋아서, 손목에 부담 없이 오래 사용할 수 있었어요. 한 손으로도 충분히 조작 가능하고, 버튼도 직관적이라 설명서를 길게 읽지 않아도 바로 사용할 수 있었답니다. 작동 소음도 생각보다 크지 않아서 늦은 시간에도 부담 없이 사용할 수 있어요.3. 분리 세척이 쉬운 구조먼지통은 원터치로 분리되며 물세척이 가능해서 관리가 편했어요. 필터도 간편하게 분리돼서 주기적으로 청소하기 어렵지 않더라고요. 위생이 중요한 침구 청소기 특성상 세척이 쉬운 점은 정말 큰 장점이에요.4. 디자인과 마감깔끔한 화이트 색상에 군더더기 없는 미니멀한 디자인도 마음에 들어요. 실내 어디에 둬도 눈에 거슬리지 않고, 플라스틱 재질도 싸구려 느낌 없이 마감이 괜찮아서 퀄리티 있어 보여요. 선 길이도 넉넉한 편이라, 일반 침대 기준으로는 멀티탭 없이 사용 가능했어요.5. 아쉬운 점굳이 아쉬운 점을 꼽자면, 무선이 아니라는 점이에요. 선이 있는 게 불편하게 느껴질 수도 있지만, 반대로 생각하면 충전 걱정 없이 언제든지 바로 사용할 수 있다는 장점도 있어요. 그리고 먼지통 용량이 아주 크진 않기 때문에, 자주 비워줘야 하는 점도 참고하시면 좋을 것 같아요.총평샤오미 MJCMY02KR 진드기 청소기는 가성비도 좋고, 침구 청소에 꼭 필요한 기능이 알차게 들어간 제품이에요. 진드기 걱정이나 알러지 민감하신 분들, 반려동물과 함께 사시는 분들께도 추천드리고 싶어요. 부담 없이 사용할 수 있으면서 효과는 확실한 제품이라, 만족도 높습니다. 고민 중이시라면 한 번 사용해보셔도 후회 없으실 거예요 :)","최근에 샤오미 먼지 진드기 진공 청소기 MJCMY02KR를 구매해서 사용해보고 있는데요, 기대 이상으로 만족스러워서 솔직한 후기를 남겨보려고 해요. 특히 침구 청소나 진드기 제거에 관심 있으신 분들께 정말 추천드리고 싶어요.
1. 강력한 흡입력과 진드기 제거 기능
가장 인상 깊었던 건 진공 청소기치고 꽤 강력한 흡입력이에요. 제품 자체는 크기가 아담하고 가벼운데, 침구 속 먼지나 머리카락, 보이지 않는 진드기까지 말끔하게 빨아들이는 느낌이에요. 특히 UV 살균 기능과 고온 바람 건조 기능이 함께 작동돼서 위생적으로 사용할 수 있다는 점이 마음에 들었습니다. 이불이나 매트리스 위를 몇 번만 지나가도 먼지통에 먼지가 가득 차는 걸 보면, 평소에 얼마나 많은 먼지가 있었는지 실감돼요.
2. 사용이 간편하고 무게가 가벼움
본체 무게가 약 1.2kg 정도로 가볍고 그립감도 좋아서, 손목에 부담 없이 오래 사용할 수 있었어요. 한 손으로도 충분히 조작 가능하고, 버튼도 직관적이라 설명서를 길게 읽지 않아도 바로 사용할 수 있었답니다. 작동 소음도 생각보다 크지 않아서 늦은 시간에도 부담 없이 사용할 수 있어요.
3. 분리 세척이 쉬운 구조
먼지통은 원터치로 분리되며 물세척이 가능해서 관리가 편했어요. 필터도 간편하게 분리돼서 주기적으로 청소하기 어렵지 않더라고요. 위생이 중요한 침구 청소기 특성상 세척이 쉬운 점은 정말 큰 장점이에요.
4. 디자인과 마감
깔끔한 화이트 색상에 군더더기 없는 미니멀한 디자인도 마음에 들어요. 실내 어디에 둬도 눈에 거슬리지 않고, 플라스틱 재질도 싸구려 느낌 없이 마감이 괜찮아서 퀄리티 있어 보여요. 선 길이도 넉넉한 편이라, 일반 침대 기준으로는 멀티탭 없이 사용 가능했어요.
5. 아쉬운 점
굳이 아쉬운 점을 꼽자면, 무선이 아니라는 점이에요. 선이 있는 게 불편하게 느껴질 수도 있지만, 반대로 생각하면 충전 걱정 없이 언제든지 바로 사용할 수 있다는 장점도 있어요. 그리고 먼지통 용량이 아주 크진 않기 때문에, 자주 비워줘야 하는 점도 참고하시면 좋을 것 같아요.
총평
샤오미 MJCMY02KR 진드기 청소기는 가성비도 좋고, 침구 청소에 꼭 필요한 기능이 알차게 들어간 제품이에요. 진드기 걱정이나 알러지 민감하신 분들, 반려동물과 함께 사시는 분들께도 추천드리고 싶어요. 부담 없이 사용할 수 있으면서 효과는 확실한 제품이라, 만족도 높습니다. 고민 중이시라면 한 번 사용해보셔도 후회 없으실 거예요 :)",1.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/60ed8b33-804d-4f9a-ae1f-89f0b99992aa.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/582f7fd5-d686-4eb2-8a63-b4717b6fe6f8.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/0ea01ca0-7e94-48bc-ac59-571430ef1334.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/5c9d6ff0-8313-4898-b68d-ca61f9438466.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/1059b62c-6c2d-4818-bfbb-444c97af044e.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/96099e1f-59c7-484f-8e45-79b503d186d5.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/1c3022e1-3d9c-4ad6-a78b-3711dd9baca7.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/12d3aaf0-9a5b-4e9b-ac8f-91b90fd606f8.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/8dfd684c-12c2-425e-9055-0b4fbcfc3659.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4744466593395877452/ca972253-d8c2-4003-83b2-a89d6e76c427.jpg"
2,5,2025.02.09,박말년,아주 만족합니닷,"침구청소기중 가장 깔끔하고 이쁘게생겼어요
예전에 쓰던건 먼지통 모양이 이상하게생겨서 먼지 뺄때 후두둑 쏟아졌는데 이건 원터치로 깔끔하게 빠지니 엄청 간편합니다.
샤오미 짝퉁도 하도 많아서 직구로 사기는 꺼렸는데 쿠팡정식수입으로 좋은제품 받습니다
포장상태도 국내 제품보다 좋고..다이슨 뜯는 느낌입니다ㅎ
바로 침대 해봤는데 엄청 미세한 먼지들이 필터에 걸러지는게 ....기관지 위해서라도 하루에한번씩 침구청소해야겠어요
원하던 디자인 원하던 색상으로 모양도 이쁘고 시력안전을위해 UV렌즈가 들면 꺼지고 침구에 닿아야만 켜지는게 신기합니다.
샤오미는 역시 쿠팡에서  믿고 구입하는게 최고입니다",7.0,"https://video.coupangcdn.com/cloud/PRODUCTREVIEW/202502/9/7758975113735382380/fe70f345-1e0b-45b3-b207-373ab9d178c3/transcode/thumbnail-00001.png,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/9/7758975113735382380/2957ff3d-7282-477f-9d4f-92cfc639b812.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/9/7758975113735382380/e8bc23b9-64fc-46c1-8774-48ec24040cb5.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/9/7758975113735382380/287a5ba9-f337-4590-abc3-616e54288385.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/9/7758975113735382380/fcbd7099-c521-485b-a29c-628abe078cee.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/9/7758975113735382380/0f65e8fb-45b2-4634-8bef-bcaac7957789.jpg"
3,5,2025.02.25,김*진,가성비 넘치는 디자인 이쁜 UV 침구 청소기!,"✨ 집먼지 진드기 안녕~ 강력한 침구 청소기 사용 후기! ✨
✅ 구매 이유
얼마 전 병원에서 집먼지 진드기 알레르기 판정을 받고 충격!
아무리 청소를 해도 보이지 않는 미세먼지와 진드기까지 완벽 제거가 안 되니, 비염도 심해지고 코막힘이 계속됐어요.
특히 침구는 매일 닿는 곳이라 더 신경 쓰이더라고요. ️
그래서 침구 속 먼지를 깔끔하게 제거해 줄 침구 청소기를 찾다가 가성비 좋은 제품을 발견!
드디어 내 비염을 위한 맞춤템을 장만했어요.
✅ 사용 후 좋았던 점
✔ 비염 완화 효과
사용하고 나서 비염이 확실히 덜해졌어요! 아침마다 코막힘이 심했는데, 최근엔 훨씬 편하게 숨 쉬고 있어요.
✔ 디자인이 예쁨
기능뿐만 아니라 디자인도 깔끔하고 세련돼서 만족!
✔ 가격이 저렴함
여러 브랜드 비교했는데, 이 정도 성능에 이 가격이면 완전 혜자템!
✔ 코드 길이 넉넉
방 여기저기 옮겨 다니면서 청소할 때 코드 길이가 짧으면 불편한데, 이 제품은 충분히 길어서 편해요.
✔ 강력한 UV 기능 ☀️
진드기와 세균을 없애주는 UV 살균 기능까지 탑재! 안심하고 사용할 수 있어서 좋아요.
❌ 아쉬운 점
✖ 생각보다 무게가 조금 있음 ️
한 손으로 오래 들고 사용하면 살짝 무겁게 느껴질 수도 있어요. 하지만 그만큼 흡입력도 좋다는 점!
✅ 총평
비염 때문에 고민이라면 이 제품 완전 추천!
침구 속 미세먼지와 진드기까지 강력하게 제거해 주고, 사용 후 확실히 비염이 덜해진 걸 체감했어요.
디자인 예쁘고, UV 기능도 강력한데 가격까지 착해서 가성비 갑!
단점이라면 무게가 조금 있다는 점이지만, 효과가 워낙 좋아서 이 정도쯤이야! 싶네요.
알레르기, 비염으로 고생하는 분들께 강추드려요!",3.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/25/7838003164319795591/5714be84-3036-4a03-9d9e-7e1b93377a08.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/25/7838003164319795591/955a0669-5571-436e-9597-28de3b719f61.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/25/7838003164319795591/f3bf0886-2c6f-481d-9edd-be487fb3a460.jpg"
4,5,2025.02.21,아임톡,미세먼지 제거용으로 좋습니다,"샤오미 먼지 진드기 진공 청소기 MJCMY02KR 리뷰
침구 속 보이지 않는 먼지와 진드기를 효과적으로 제거하기 위해 샤오미 먼지 진드기 진공 청소기 MJCMY02KR를 사용해 보았습니다. 침구 청소기를 처음 사용해 보는 입장에서 기능과 성능이 만족스러웠으며, 직접 사용하면서 느낀 장점과 단점을 정리해 보았습니다.
---
장점
1. 강력한 흡입력과 미세먼지 제거 성능
이 제품은 강력한 흡입력을 자랑하며, 침구나 매트리스에 깊숙이 박혀 있는 먼지를 효과적으로 제거합니다. 사용 후 먼지통을 확인해 보니 눈에 보이지 않던 미세 먼지가 상당량 제거된 것을 확인할 수 있었습니다. 평소 일반 청소기로는 해결되지 않던 부분까지 확실히 청소되는 느낌이었습니다.
2. UV 살균 기능
진드기뿐만 아니라 UV 살균 기능이 있어 보이지 않는 세균과 곰팡이까지 제거할 수 있습니다. 일반 진공 청소기와 차별화된 점이며, 특히 알레르기나 피부 질환이 있는 분들에게 유용할 것 같습니다.
3. 디자인과 사용 편의성
샤오미 특유의 미니멀하고 깔끔한 디자인이 적용되어 있으며, 무게도 가벼운 편이라 사용하기 편리합니다. 손잡이가 인체공학적으로 설계되어 있어 장시간 사용해도 손목에 부담이 적습니다. 또한 버튼 조작이 간단하여 누구나 쉽게 사용할 수 있습니다.
4. 필터 청소 및 유지보수 용이
먼지통과 필터가 분리되어 세척이 가능하기 때문에 위생적으로 사용할 수 있습니다. 필터 교체가 필요할 때도 간편하게 분리할 수 있어 관리가 어렵지 않습니다.
5. 소음이 적음
침구 청소기 특성상 모터가 강력하지만, 소음이 예상보다 크지 않습니다. 일반적인 진공 청소기보다는 조용한 편이라 부담 없이 사용할 수 있습니다.
---
단점
1. 전원 코드 길이
유선 제품이다 보니 사용 시 콘센트 위치에 따라 다소 불편함을 느낄 수 있습니다. 코드 길이가 조금만 더 길었다면 이동하면서 사용하기 더 편리했을 것 같습니다. 침구나 매트리스뿐만 아니라 소파나 커튼까지 청소하려면 콘센트를 옮겨 꽂아야 하는 경우가 발생할 수 있습니다.
2. 온도 상승 문제
사용 시간이 길어지면 본체에서 약간의 열이 발생합니다. 오래 사용하면 손으로 잡는 부분이 미지근해지는 느낌이 있어, 연속 사용보다는 일정 시간 사용 후 휴식을 주는 것이 좋을 것 같습니다.
3. 흡입력 조절 기능 없음
강력한 흡입력을 제공하지만, 흡입력을 조절할 수 있는 기능이 없다는 점이 아쉽습니다. 특정한 소재의 침구나 얇은 패브릭을 청소할 때 흡입력이 너무 강하면 원단이 말려 들어갈 수도 있어 조절 기능이 있었다면 더 다양한 환경에서 유용하게 사용할 수 있을 것 같습니다.
4. 먼지통 용량 제한
먼지통의 용량이 크지는 않아 한 번 청소할 때 금방 가득 차는 편입니다. 한두 번 사용 후에는 먼지통을 비워야 하는 번거로움이 있습니다.
---
총평
샤오미 먼지 진드기 진공 청소기 MJCMY02KR는 침구 청소에 특화된 강력한 흡입력과 UV 살균 기능을 갖춘 제품으로, 침구 속 먼지와 진드기를 효과적으로 제거하는 데 큰 도움이 됩니다. 디자인이 세련되고 사용법이 간편해 누구나 쉽게 활용할 수 있으며, 소음도 비교적 적어 실사용 만족도가 높았습니다. 다만, 전원 코드의 길이와 흡입력 조절 기능이 없는 점은 아쉬운 부분이지만, 가격 대비 성능을 고려하면 충분히 추천할 만한 제품입니다.
별점: ★★★★☆ (4.5/5)
침구 위생에 신경 쓰는 분들이라면 만족할 만한 선택이 될 것입니다!",2.0,
5,5,2025.06.13,강*영,너무 좋아요~!!!,"침구를 매일 빨 수 없고 건조기 이불털기도 매일하기 힘들어서 침구청소기 알아보다 주문했어요
샤오미 물걸레청소기도 잘쓰고 있어서 샤오미껄로 주문했는데 넘 좋네요~
무선은 힘이 약할까봐 일부러 유선으로 산건데 줄이 길어서 한 번 꼽고 안방에 매트 두 개가 다 되네요
줄이 길어서 밀 때마다 걸리긴 하는데 요령을 찾아봐야죠ㅎ
사진 속 먼지통 먼지는 전전날 세탁 후 건조기, 전날 건조기 이불털기한 매트커버 세군데서 나온거에요;;; 미세하고 고운 먼지들이 엄청 많네요ㅜㅜ
무게도 있어서 하고 나면 힘들긴한데ㅎㅎ 먼지를 본 이상 자주 쓸 것 같아요
잘 때 뽀송하고 쾌적하더라구요 내돈내산 진짜 왕추천합니다~^^",,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/13/2248416689764629931/bb0ce2e8-0537-4273-85bd-25012d064966.jpg
6,5,2025.04.26,김*현,반려견 키우시는 분들께 강추드림,"저는 비숑을 키우고있어요
요즘 몸을 넘. 긁길래 침구 진드기가 의심되어 샀어요.
보관도 편하구, 포장도 깔끔하게 와서 너무좋았어요!!!",,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/26/4011038035228950557/6f91680e-5292-4f1f-b69a-db64fe6d464d.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/26/4011038035228950557/ee45466b-d12c-4a92-a4d0-44218aacbfc8.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/26/4011038035228950557/b8ac29a1-9357-4cb4-8603-9181dc1c17bc.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/26/4011038035228950557/7805e903-5a04-4329-9844-fc924042d855.jpg"
7,5,2025.03.27,김*인,~(˘▽˘~) 신혼템 대만족(~˘▽˘)~,"))고민은 배송을 늦출 뿐((
신혼집이 구축이어서 겨울엔 따수미 텐트 설치
아무래도 텐트안에서 침구먼지 더 많이 쌓일 수 밖에 없음
침구청소기 알아보다가 샤오미청소기 발견 !!
1. 디자인
일단 깔끔하고 예쁜 디자인. 직관적인 사용 방법!
냅다 버튼만 누르고 돌리면 됨!
2. 편리성
침구청소기인데 코드선이 짧은 제품들이 있음. 얘는 선이 진짜 엄청 김! 킹사이즈 구석구석. 카페트 끝에서 끝까지 다 닿음!
먼지통도 걍 버튼만 눌러서 결합해제하고 비우면 됨. 진짜 직관적 디자인에 사용자 편리성이 높음
3. 흡입력
말뭐, 긴머리카락도 다 흡입. 롤러식아니어서 다이슨처럼 헤드에 머리카락 감길 일 없음(다이슨 진짜 열받는 포인트). 걍 모터 흡입력이 좋음.
4. 열풍소독
얘전에 UV소독식 써봤는데 미췽... 램프 수명 다하면 그 규격의 UV램프 찾는것도 일임. 근데 얜 열풍으로 박멸ㅋㅋ ㅋㅋㅋ 물론 헤어드라이기로 조지는 것 만치 뜨거운건 아니지만 오쨌든 뜨신바람이 잘 나오긴 함ㅇㅇ. 내기준 되는지 안되는지도 모르겠는 UV선 보다는 뜨거운 바람이 만족스러움
5. 총평
왜 안 사
신혼집 집들이 선뮬 강추임 진짜 레알로다가",1.0,
8,5,2025.07.01,익명할래요,와 처음 돌려보고 놀람+쾌감.. 사길 잘한 것 같아요열풍도 나와서 이중으로 소독되는 것 같아서 맘에 들어요무게는 좀 있지만 못 들 정도는 아닙니다,"와 처음 돌려보고 놀람+쾌감.. 사길 잘한 것 같아요
열풍도 나와서 이중으로 소독되는 것 같아서 맘에 들어요
무게는 좀 있지만 못 들 정도는 아닙니다",,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202507/1/1964076315737129278/bf8ccb0b-9c41-4c27-9ce7-1d9879bfb564.jpg
9,5,2025.04.05,오*현,미쳤다,"후기같은거 안남기는데
이건남길수밖에없음
흡입력? ㅈㄸ인정!
진짜 내가 이런토퍼에서 잤나?
할정도로 각질인지 먼지인지 머리카락도 겁나나옴
요새 머리엄청빠지고 아침이면 먼지 한사발먹은 입안 맨날 느끼고
물땡기고 삼겹살 땡기는데 왜그런지 알겠음
더우면 발개벗고자서 몸엄청 간지러웠는데
침구도 다시 바꿔야할거같음
1차로 청소하고 먼지 양 엄청많아서 버리고 2차전 가야할듯
이건 진짜 물건임",4.0,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/5/3788084066436327490/3d090afc-283f-4e1e-a366-51a24c771f9e.jpg
10,5,2025.03.06,썰스,"쿠1팡맨 잘생김만 쓰다가 남김■구매사유 : 침구 청소, 이불 청소를 위해 구매■사용후기 : 흡입, 살균, 열풍까지 동시에 할수있으니까 매우 좋고 가벼운 무게, 샤오미만의 깔끔한 디자인까지 완벽합니다. 하지만 샤오미 답지 않은 약간 비싼 가격?, 그리고 스팀 건조기나 스타일러가 있는 분이라면 구매 비추, 단, 난 정말 쇼파 청소를 해야겠다 하는 분에겐 추천드립니다.","쿠1팡맨 잘생김만 쓰다가 남김
■구매사유 : 침구 청소, 이불 청소를 위해 구매
■사용후기 : 흡입, 살균, 열풍까지 동시에 할수있으니까 매우 좋고 가벼운 무게, 샤오미만의 깔끔한 디자인까지 완벽합니다. 하지만 샤오미 답지 않은 약간 비싼 가격?, 그리고 스팀 건조기나 스타일러가 있는 분이라면 구매 비추, 단, 난 정말 쇼파 청소를 해야겠다 하는 분에겐 추천드립니다.",,
