rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.21,임*규,너무 좋아요!!,"전 왠만하면 리뷰를 잘 안답니다만
이건 꼭 달아야겠네요
언제부턴가 집에서 담배도 안피는데 숨이 꽉 막혀서
병원가서 알러지 검사를 했더니 집먼지 진드기
알러지가 위험군으로 나오더군요 ㄷㄷ
그래서 코에 칙칙하는 알러지 약을 처방받고 1년을 보내고
다시 여름이 오니 또 시작인겁니다.;;
그래서 침대 매트리스를 바꿔야하나 했는데
검색해보니 집먼지 청소기가 있어서 평소에 샤오미
청소기를 몇년째 아주 잘 쓰고 있어서
첨엔 알리에서 알아봤는데 2만원 더 싼대신에
110볼트이고 배송이 느리고 쿠팡에서 파는건
더 비싼대신 220볼트에 다음날 바로 받아볼 수
있는장점이 있어서 바로 쿠팡으로 구매후 청소를
받자마자 해보았더니 아니나 다를까 집먼지 진드기
센서가 아주 나쁨을 띄우면서 마구 빨아드리는데
너무 충격이었습니다. 역시 이것때문에 내가
숨을 못쉬고 고통을 받았었구나 화가나서 매트리스
6면을 구석고석 최고흡입으로 센서가 정상으로
나올때까지 사정없이 빨아들이고 이불이며 베개며
전부 따뜻한물로 빨아서 청소를 하니 아주 뽀송하고
숨도 잘 쉬어지고 와이프랑 피부도 일어났건것과
아이 기침하는 것까지 전부 좋아지는 것이었습니다.
14파스칼이라 흡입력도 아주 쎄고 살균과 뜨거운
열기도 같이 해주고 센서도 잘 작동되어서 너무
만족스럽습니다.
고민하시는 분들 꼭 사보세요 후회안합니다.",1.0,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/21/6906264839326380278/22a2ab2e-64df-4462-95f7-4d522604419a.jpg
2,5,2025.06.23,김*민,먼지 장난 아님,"와 먼지 너무 많이 나오네요
비염이 있어서 구매 했는데 청소 한거 보니까 뿌듯해요
예전에 사용하던 침구 청소기는 먼지 흡입이 잘 안되었는데
샤오미 침구 청소기는 눈에 보일정도로 먼지 흡입이 잘돼네요 너무너무 좋네요 강추해요
알리 직구로 2만원 가량 저렴히 구매 안한 이유는 220v 선 때매 쿠팡에서 구매 했어요 알리에서 구매하면 220v 되긴하지만 코드 굵기가 얇아서 콘센트에서 잘 빠지는 걸로 알고 있어요
쿠팡에서 내돈내산 첫리뷰 남겨 보아요",1.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/23/7642319403450524072/2e3df0e9-0360-41b4-b2f5-ce9e795e5e9a.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/23/7642319403450524072/d2e60ae0-5c65-4ceb-81aa-1506cee91585.jpg"
3,5,2025.05.12,뾰러롱,"내돈내산,, 비염탈출하고싶다","원래 비염이 없었는데 아침마다 자다일어나면 심해져서 침구가 문제일까? 해서 침구 청소기를 알아봤어요
그러던와중 uv에 온풍기능이 있는게 샤오미밖에없어서 구입을 했는데 다른곳에서 해외로 구매하면 조금 더 저렴하긴하지만 연결코드가  외국버전이더라구요?  그래서 쿠팡리뷰를 보니 한국 콘센트용이라 해서 바로 구매해버렸습니다 개인적으로 침구청소기는 흡입력이 좋아야해서 무선보단 유선이좋은거같아요 ,, 파워모드를 맘껏쓸수있고 선도 길어서 불편함 없습니다
머리카락도 잘 들어가구요 청소안한 침대 한번 돌리고 찍은 사진인데 먼지가,, 엄청나요 고양이도 키워서 그런지모르겠지만 한번 돌리니까 개운하네요 물론 온풍기능있고 무거워서 조금 팔이아프고 덥지만 먼지가 차있는 걸 보면 뿌듯,, 잘샀다 생각드네요
비염 탈출하길 바라며,, 열심히 청소를 해보겠습니다",5.0,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/12/3358928177530778458/9b644c6f-c1c6-43d2-88d8-8f1e5826abfd.jpg
4,5,2025.04.12,따흙,샤오미는 기본은 합니다,"과연잘될까하고 구매하고 써봤는데 이불에서 그렇게 많은 먼지가 나올줄은 생각도 못했네요 자주 세탁하고 털고 건조시키는데 그래도 먼지가 엄청 많았나보네요 장난아닙니다 효과
샤오미 이번에 국내정식으로 진출했다는데 잘되길바래요
추가로 드라이기도 이번에 샀는데 그것도 대박입니다
재구매의사10000000%입니다 그냥사세요 또 사세요",2.0,
5,5,2025.04.15,내사랑내곁,많은 침구용청소기 고르고 골라 구매했음.,"* 연결코드가 한국형임.
* 무게는 밀착해서 돌리다보니 적당한 무게 괜찮았음.
* 케이블길이가 충분히 길어 사용하기 좋았음.
* 소음은 거슬리지 않을 정도였음.
* 흡인력은 침대위 보풀이 깔끔해진 느낌.
* 온풍 좋고 무게중심 좋았음.",1.0,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/15/5991828007580240984/37e4450a-62a6-426c-9b4b-72f56740b705.jpg
6,5,2025.06.29,정*,생각보다 성능이 뛰어남,성능이 생각보다 좋네요!,,
7,5,2025.04.18,박*섭,가격대비 정말 좋습니다 나오는 먼지를 보면 속이 시원!,,,
8,5,2025.04.16,김*태,청소 잘되요,청소 잘되고 맘에들어요 편해요 좋아요,,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/16/5915432752418685010/5c15a046-015f-4470-ba72-498dfaaa52d1.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/16/5915432752418685010/d10ba45b-d996-468c-9a88-ad9768ff0476.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/16/5915432752418685010/491c8738-387a-4be2-8297-401f3e69cb75.jpg"
9,2,2025.06.24,앨리쑤,우리집엔 먼지가 없는건지 통에 작은 가루 먼지만 쪼금 있고 다른분들 리뷰처럼 안되더라고요ㅠ세척하려고 분리해보니 필터에 붙어서 막고있던건가 싶게 붙어있고잘작동된건지 의심스럽네요,"우리집엔 먼지가 없는건지 통에 작은 가루 먼지만 쪼금 있고 다른분들 리뷰처럼 안되더라고요ㅠ
세척하려고 분리해보니 필터에 붙어서 막고있던건가 싶게 붙어있고
잘작동된건지 의심스럽네요",,
10,5,2025.07.03,강*운,,,,
