rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.01.07,범띠용띠맘,내돈내산 후기입니다,"첫째34개월 둘째40일 된 아이 키우는 엄마에요
겨울이 오니까 건조해지고 집에 습도가 낮아서 큰아이가
자면서 기침을 하더라구요 어린이집을 다니고 겨울철이라서
감기인줄알고 약을 먹고있는데 둘째봐주시는 산후관리사님이
집이 너무 건조해서 목이 아플수있다고 아기키우는 집은
24-26도에 습도는55-60까지 해줘야한다고 하셔서 처음에는
작은용량 가습기를 구매해서 사용해봤는데 금방금방 물이 없어
지고 연기도 나니까 공기청정기가 하루종일 쎄게 돌아가고있고
습도는 제대로 안되기도해서 신랑이 이번에 살때 오래쓸수있게
가격대가 좀 있지만 사놓으면 여름에 선풍기사용하듯이
겨울철만 되면 가습기 사용하게끔 큰걸로사자고 해서
구매했어요  400mL/n이라서 건조함을 빠르게 해소해요
32dB(A)이라서 저소음 작동 편안한 수면을 위한 저소음 환경
이에요 첫째가 소리에 예민한 아이라서 공기청정기도 취침모드
로 해서 자는데도 가끔씩 시끄럽다고 깰때도 있는데
직접 사용해 본 결과 소음이 안나서 틀고있는지 아닌지도
모를정도에요 물추가가 간편함 허리를 굽히지 않아도 되는
편리함 대부분 가습기 물충전할려면 뚜껑을 열고 물을 넣어야
하는데 지금처럼 큰 사이즈의 가습기라면 잠금해제하고 위에꺼
들고 물 따르고 하는 번거로움이 있는데 전원을 꺼진상태에서
뚜껑을 안 열고 바로 물을 넣을수있다는 점에서 신기했어요
4L로 대용량 물저장할수있어요 최대 19시간 지속 가습해요
물이 얼마큼 있는지 눈쿰표시가 있는데 최대19시간이니
밤에는 신경안쓰고 촉촉하게 잘수있는점이 좋은것같아요
다양한 시나리오에 맞춘 스마트 연동할수있어요
스마트폰의 Mi Home 앱을 통해 제어할 수 있으며,
스마트 시나리오를 만들어 다른 기기와 연동할 수 있습니다
가장 마음에 든것은 원래 가습기나 공기청정기처럼 이런 기기들
침대옆에 가까이 두지않잖아요 전원키고 끄고 습도조절할려면
침대에서 일어서서 가습기 있는곳까지 가서 조절하고 다시
돌아오는편인데 폰으로 연결해서 힘들게 안 움직이고
폰으로 조절할수있으니까 너무 편한것같아요 제가 좀
귀찬니즘이 많아서 폰으로 조절하는게 좋은것같아요",8.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/72f7a448-3300-43aa-8da4-05e4e8cee184.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/a290d002-bf17-43a9-8e7e-2a720d199d5c.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/e2a495cc-5ddc-4cd7-8792-7a879dca08c5.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/9747ebb9-3213-4627-8290-9bbb115e49f9.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/0d860126-c04b-45de-8bd6-f89c8e46311d.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/af93ddab-a3ed-40a3-aa65-6441b4a48ad9.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/7/1948880196129975808/b54c5a5c-5ffc-4159-bef1-262dbd86af9a.jpg"
2,5,2025.05.04,황*호,세상에 이런 가습기 처음이네요!!,"제가 가습기 유목민이라 정말 좋다는건 이것저것
다 사용해봤는데 샤오미 기화식 가습기가 가장 가성비 좋고 완벽한거 같아요!!
제가 건조하면 잠을 잘 못자는것도 있고 너무 습하면 기침을
하는데 샤오미 기화식 가습기는 정말 호흡이 너무 편해졌어요
간단하게 요약하자면
1. 눈에 보이는 분무는 없지만 설정한 습도에 생각보다
굉장히 빠르게 습도가 맞춰집니다 (30평 거실)
2. 집에 신생아가 있어 혹시나 하는 마음에 비싼 가열식 가습기를 사용하였는데 모두들 아시다 싶이 습도도 잘 안올라가고 무겁고 세척이 어려워 고민하던 찰나에
기화식 가습기는 세균감염에 안전하고 깨끗하게 관리가 가능합니다
3. 어플 연동이 너무 잘되고 언제든지 폰으로 습도 관리가 편해 좋습니댜~^^
단 한번도 이런 리뷰 남겨본적 없는데 정말 강추 합니다",3.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/4/3461471904594617383/d74efa5e-87a6-4d93-a92b-237c8396639e.jpg
3,5,2025.04.21,이*미,소음 안나고좋아요,"기존에 따듯한 가습기를 사용했었는데 따듯하게 해주는 거라 나이트 모드도 없고 귀가 밝은편이라 자는데 너무 시끄러워서 한번 구매해봤어요!!
다른것도 무슨 소음 안난다 이랬는데 써보니 예민한 저한테는 그래도 소음이나서 시끄러웠어요
마지막으로 샤오미꺼를 구매했는데 소음 진짜 안나서 잠귀밝은 저에게 딱이였어요!! 어플을 다운받고 세세하게 조절할 수 도있고 전원버튼을 누르면 필터 말려주는 기능도 있어서 좋네영
다만 물컵이나 이런것도 들어있으면 딱 좋았을거같아영 그래도 물 넣기에는 편하네요 잠귀밝은분들에게 딱입니다~",1.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/21/3891574022694430044/aaeedb7d-f460-4bbe-89be-8a409efa51d3.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/21/3891574022694430044/867a77f4-1351-48dc-bbdb-5a825f54a2ff.jpg"
4,4,2025.01.06,맹*우,필터 거품빼고는 모두 만족.,"가습력과 소음, 디자인은 이정도면 훌륭합니다.자동건조기능있어서 필터기화식 가습기 종특인 냄새도 어느정도 괜찮을 것 같네요.
필터식 샤오미 기화식 가습기 후기들을 찾아보면 필터를 물에 헹구면 세제탄듯이 거품이 많이난다는글을 찾을수 있습니다. 저 역시 하루사용뒤에 수조통을 헹구는데 필터에서 발생된 거품이 꽤 있었네요.찜찜해서 필터를 몇시간 물에 담근 뒤 사용하긴 했습니다.그뒤에는 조금이지만 거품이 계속 발생하고 있구요.
항균 코팅된 필터때문에 생기는건지 발뮤다 기화식 필터에서도 거품발생 이슈글이 간혹 보이고 유해성에 대한 문제만 없다면 괜찮을 것 같은데 속시원히 알려주는 곳이 있으면 좋겠네요...
세척은 팬만 좀 어려울 것 같아서 먼지쌓이게되면 분해도 어렵고 어찌해야할지 모르겠네요.",9.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/8/8815056897192420114/22f4e8f5-b256-483f-9197-1319c57f70c1.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202501/8/8815056897192420114/3a7b4238-7549-4509-a705-a6d19778f2f3.jpg"
5,4,2025.02.27,강*원,이 가격에 왠만한 기능 다있는제품은 이제품밖에 없습니다,"다른 용량큰 기화식 가습기샀다가 습도 조절도 직접안되고 소음 때문에 환불하고 이제품 다시 구매했습니다
이전에는 같은 모델 직구 제품구매해서 사용을 했는데 직구제품이 구매한지 1년반? 2년되니 내부에서 쇼트가난건지 켜졌다가 안켜지다가 아예안켜져서 이 제품을 다시 구매했습니다 그런데 메뉴얼이 한글이여서 주의사항을 확인중에 전원코드를 빼고 물을 넣으라고 경고문이 써있네요 이전 직구품사용할때에는 전원켜진상태에서 그냥 물넣어서사용해서 망가진걸수도 있겠네요
용량이 살짝 아쉽지만 왠만한기능은 다있어서 만족합니다
불만인점은 필터를 교체해야되서 그것때문에 별1개 뺏습니다.",3.0,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/27/527429834956210626/0154a8bf-1377-4f38-b73c-d9bb5cb23b23.jpg
6,5,2025.05.31,박*훈,가격대비 성능 좋습니다,몇일을 고민하다 구매 했습니다. 작동음 조용합니다. 사용하기도 편하고요. 일단 다른 자연 가습기보다 저렴한데 습도 조절가능하다는것이 좋네요. 다만 물 채울때 꼭 꺼야 한다는 것이 조금 아쉽습니다. 옆에 따로 물 주입구가 있었다면 더 좋았을건데 하는 아쉬움이 있습니다,,
7,5,2025.02.15,박*훈,"기화식 가습기를 처음 구매하였습니다.처음엔 망설였습니다. 초음파식 가습기만 써왔기에...그런데, 샤오미는 그게 아니라는 것을 깨달았습니다.가시적으로 가습되는 모습이 보이지는 않지만, 습도계는 알고 있습니다.디자인도 디자인 이지만, 견고함(짱짱함)은 나를 만족하게 만들었습니다.잘~~~ 쓰겠습니다. 감사합니다.","기화식 가습기를 처음 구매하였습니다.
처음엔 망설였습니다. 초음파식 가습기만 써왔기에...
그런데, 샤오미는 그게 아니라는 것을 깨달았습니다.
가시적으로 가습되는 모습이 보이지는 않지만, 습도계는 알고 있습니다.
디자인도 디자인 이지만, 견고함(짱짱함)은 나를 만족하게 만들었습니다.
잘~~~ 쓰겠습니다. 감사합니다.",,
8,3,2025.02.07,고구맛탕,출고전 검수 부탁드립니다.,스크레치가 하나 크게있습니다. 급해서 사용중입니다. 출고전 검수 부탁합니다.,,
9,1,2025.02.13,강*환,한달도 안되서 고장남,,,
10,5,2025.05.16,뷰어리최,,,,
