rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.03.10,todaywhat,잘쓸께요,"여러가지 제품을 살펴보다가 샤오미 제품이라 눈에 띄어서 자세히 실펴보다 결국 구입했습니다.
스마트폰과 연계된다는게 과연 샤오미답다는 생각이 들었고 디자인이 굉장히 세련됐다는 느낌이었습니다.
아직 써보질 않아서 써보고 다시 댓글 올리겟습니다
====================================
오늘로 대략 10일정도 사용했는데요 결과는 대만족입니다.
밥은 아주 맛있게 잘 되구요.
스마트폰과 와이파이로 연결해서 밥을 하는데 (물론 이거 사용안해도 됩니다) 정말 편하고 현재 상황이 실시간으로 나오니까 재밌기도 하구요.
""중온으로 수분 흡수""
(더 향긋하고 달콤한 맛을 위해 쌀이 충분한 물을 흡수하도록 온도를 계속 높입니다)
이런식으로 아주 자세히 나옵니다.
참고로 여러가지 쌀을 지원하는데 우리나라 쌀과 가장 비슷한 쌀은
""아키타 코마치 일본 쌀""
""중국 동북 쌀""
입니다. 참고하세요.
그리고 세심한 벼려가 돋보이는데 내부 뚜껑이나 스팀 캡도 쉽게 분리되고 청소하기도 쉽게 되어있습니다.",4.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/10/6368362132720094536/c01da169-cf7a-4e6d-ba1b-baec08d97191.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/10/6368362132720094536/d7aff658-5aca-46f4-801d-ff7f4f046d1a.jpg"
2,5,2025.06.06,김*기,디자인이 깔끔하고 가볍고 설치도 쉽고 밥도 잘되고됩니다폰으로도 할수가있어서 엄청 편하더라구요단점은 뚜껑을 열때 수증기가 쌓여서 테쌀 종류가있는데 선택할때 짧은 쌀 선택하시면두리쪽에 물이 고입니다 닦아 줘야됩니다 그리고 밥풀때 내솥이 가벼워서움직이더라구요 이 2개 빼고 좋더라구요,"디자인이 깔끔하고 가볍고 설치도 쉽고 밥도 잘되고
됩니다
폰으로도 할수가있어서 엄청 편하더라구요
단점은 뚜껑을 열때 수증기가 쌓여서 테쌀 종류가있는데 선택할때 짧은 쌀 선택하시면두리쪽에 물이 고입니다 닦아 줘야됩니다 그리고 밥풀때 내솥이 가벼워서
움직이더라구요 이 2개 빼고 좋더라구요",,
3,2,2025.06.15,김*린,샤오미 어플 연동 안됨.밥하는데 1시간걸림,"밥다하고 그냥두면 알아서 꺼져요. 보온 안됨.
샤오미 어플연결하는거 와파못잡아요. 열받음
그냥 백미밥을 1시간하는 밥통은 또 처음임",1.0,
4,5,2025.02.11,정*균,제품 디자인도 이쁘고 사용하기 너무 편리합니다,,,
5,5,2025.03.15,TAM*** *****,smart rice cooker,"this rice cooker is very good looking and very high quality, and also the packaging was really nice, god job seller and thank you, the delivery of the item was very fast",3.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/c485e135-02f5-41ac-b521-41be68222b80.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/b6a9a9f2-349e-43cd-b4d8-f9f8c7ac0298.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/c69a6d7f-766c-4f1f-a07e-086df6936734.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/64507e71-2668-4bda-a080-e9249853d348.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/32ea8eb2-aecb-4d68-af5f-fa0fe7b13e72.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/54984cb7-88b7-4050-93f0-9660c3288caa.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/8c7c87d0-8986-46ea-ac7a-3357db37eba2.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/1a76fb48-37a5-4933-a7a9-3124cb1926b8.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/19/5808298484478702811/f3c89dfa-360c-42b2-9442-73733332e301.jpg"
6,4,2025.06.25,Sha*** *****,it's just okay.... nothing impressive about...takes longer time to cook rice and the WiFi feature isn't working...it says poor WiFi,it's just okay.... nothing impressive about...takes longer time to cook rice and the WiFi feature isn't working...it says poor WiFi,,
7,5,2025.05.13,PRA**** ******* ***** *****,,,,
8,5,2025.04.24,김*태,,,,
9,5,2025.04.23,LIY******,,,,
10,4,2025.04.13,조*진,,,,
11,5,2025.04.02,LI *******,,,,
12,5,2025.04.01,Cha***** **********,,,,
13,5,2025.03.18,짱똘,,,,
14,5,2025.03.16,lIX******,,,,
15,3,2025.04.23,박*경,,,,
16,1,2025.05.10,DI ******,,,,
