rank,rating,date,user,headline,body,helpful_count,images
1,5,2024.09.18,윤*영,시원한 마사지 효과 굿굿,"추석연휴에 목이 너무 뻐근해서 주문했는데 다음날 새벽에 도착했어요 (감동..) 평소 스파나 마사지도 많이 받아보고 집에서도 편하게 자주 쓸 수 있는 마사지건 알아보았는데 헬스장에서 쓰는건 너어무 비싸고 다른 제품은 저렴하긴 한데 소재나 기능, 디자인이 아쉬웠어요. 둘러보던 중 샤오미에서도 마사지건이 있길래 한번 구입해보았습니다. 공기청정기랑 보조배터리도 잘 쓰고 있어서 ㅎㅎ 일단 빠른 배송 굿굿이고 제품 상태 좋고 핸디한 사이즈와 갸벼운 무게, 디자인이 심플해서 그 부분이 제일 마음에 들었어요. 이정도 구성이면 집에서도 간단하게나마 승모나 목 부분 다리 마사지 할 수 있을것 같아요!!",,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/1624187742858399422/c2ac36e5-5e20-4a82-bd56-88902f2ba253.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/1624187742858399422/5dd7c458-3cbd-44f5-b931-eaf8a96fdb7a.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/18/1624187742858399422/4b27a9c3-efcf-48fa-936f-6f501119fb65.jpg"
2,5,2023.08.01,이*수,조용하고 가볍고 예쁘다,"진짜 다른 제품에 비해 너무 조용하고
헤드 만듬새도 좋고 여자가 하기도 좋고
3단으로 하면 남자도 괜찮아 할 듯!?
적당히 제품력 있으면서 깔끔한 제품 찾으시면
적합합니다 ㅎㅎ",,
3,5,2023.11.04,신*석,최고의 상품.,중국산으로 최고의 품질인 것같습니다. 구매 잘했어요. 내 손안의 물리치료기ㅋ,,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202311/4/1475373726086572600/a6d9b5b3-8031-4076-91e5-4123742a5528.jpg
4,5,2024.03.13,김*주,여러해 사용하던 제품입니다. 집에 비치해두고 씁니다.,여러해 사용하던 제품입니다. 집에 비치해두고 씁니다.,,
5,4,2024.06.13,Running202,정말 굿이에요,정말 굿이에요,,
6,5,2024.07.22,김*주,,,,
7,5,2024.05.09,,,,,
8,5,2024.03.20,박*현,,,,
9,4,2024.03.11,오*란,,,,
10,5,2024.03.09,LIN********,,,,
11,5,2024.02.04,박*진,,,,
12,5,2024.01.01,남*헌,,,,
13,5,2023.11.14,김유즈,,,,
14,5,2023.09.29,정*환,,,,
15,3,2023.08.15,성*진,,,,
16,1,2023.05.10,허*정,,,,
17,4,2023.04.03,정*수,,,,
18,5,2023.01.29,조*현,,,,
