name,price,rating,review_count,discount_percentage,image_url,product_url,rank
샤오미 스마트 무선 스탠드 선풍기2 Pro BPLDS03DM,134720,5.0,2445,55,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7986532980511924-93580368-4ee6-4843-b028-7102dbe7341e.jpg,https://www.coupang.com/vp/products/7266364764?itemId=18520563622&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=81820078788,1
"샤오미 레드미 버즈 6 플레이 블루투스 이어폰, M2420E1, 블랙",16900,4.5,666,,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/04/14/18/1/52b172eb-e4d3-4246-9ad9-250d73f43ce3.jpg,https://www.coupang.com/vp/products/8717109724?itemId=25318727006&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=92313729450,2
"샤오미 미밴드 9 액티브 스마트밴드, 블랙, 37mm, 블루투스",46900,5.0,163,,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/03/18/12/7/23cbbef9-b107-4a75-9246-51d4e153591f.png,https://www.coupang.com/vp/products/8658102358?itemId=25128634502&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=92127805789,3
"샤오미 미밴드 9 스마트밴드, 아틱 블루, 4.1cm, 블루투스",48800,5.0,1143,27,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/a8f7/ae0ec8b661737b7ebd5e3b28b40800a18c7961601f56b621dc503ef6613f.jpg,https://www.coupang.com/vp/products/8263119298?itemId=23806419366&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=90830275273,4
"샤오미 레드미 워치 5, 실버그레이, 47.5mm, GPS + 블루투스",119800,5.0,901,32,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7330/f6ff3968330624f1dfbe3a159d944372a21ff9c9736e14444245f2c061f1.jpg,https://www.coupang.com/vp/products/8538118519?itemId=24717812226&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=91727118789,5
"샤오미 스마트 타워 팬 2 BPTS02DMKR, 1개",98800,5.0,29,,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/04/14/17/2/52bd3fbf-3bfe-413e-b332-5de3cc767704.png,https://www.coupang.com/vp/products/8715702040?itemId=25313926079&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=92308981670,6
"샤오미 무선 핸디 차량용청소기, SSXCQ01XY, 혼합색상",61150,4.5,3571,,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/db58/1956de8fc1c1f33c6331d7cc736870064e1cf516337aee09803704c458f4.jpg,https://www.coupang.com/vp/products/5033702070?itemId=6762082185&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=74054886899,7
"샤오미 미밴드 9 액티브 스마트밴드, 베이지 화이트, 37mm, 블루투스",46900,5.0,163,,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/03/18/11/8/293e479d-6bc7-4138-bd43-2502875d17f8.png,https://www.coupang.com/vp/products/8658102358?itemId=25128180930&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=92127362329,8
샤오미 헤어 클리퍼 전문가용 이발기 LFQ03KL,32330,5.0,347,33,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/1574/9ba86993010bdb4f53075456baf8b8d47e428061ca0e6380016af8dcea54.jpg,https://www.coupang.com/vp/products/7136842527?itemId=17909530559&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=85072226469,9
"샤오미 레드미 버즈 6 라이트 블루투스 이어폰, 블랙, M2349E1",29900,4.5,168,2,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/01/06/18/9/4963cb57-57bd-486f-803a-b86091769c95.png,https://www.coupang.com/vp/products/8709381783?itemId=25292708918&searchId=86a94198516f45c7ae70e3d282d37e64&sourceType=brandstore_sdp_atf_topbadge-all_products&storeId=206142&subSourceType=brandstore_sdp_atf_topbadge-all_products&vendorId=A01321495&vendorItemId=91729076885,10
