rank,name,sale_price,base_price,discount_rate,unit_price,rating,rating_count,rocket,benefit_text,product_url,image_url
1,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",13200,13810.0,4.0,(1정당 73원),5.0,144565,True,최대 660원 적립,https://www.coupang.com/vp/products/5545887952?itemId=24051000514&vendorItemId=3549112936&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/935569591842484-083b2107-3703-4769-ab7d-a174d716a68d.jpg
2,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",17900,,,(1정당 99원),5.0,178634,True,최대 895원 적립,https://www.coupang.com/vp/products/7431508110?itemId=16777795279&vendorItemId=3000235591&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3410905454467177-14bcc49b-0e5a-44c4-99ff-e5a3a3efe89b.jpg
3,"종근당건강 프로메가 오메가3 트리플 장용성, 60정, 1개",10650,20900.0,49.0,(1정당 178원),5.0,96765,True,최대 533원 적립,https://www.coupang.com/vp/products/6586372374?itemId=14842723746&vendorItemId=82081965637&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/41572551746367-b886e42f-846a-491b-a88b-a9392246f85d.jpg
4,"종근당 락토핏 생유산균 코어 1통(2개월분) 생 유산균, 120g, 1개",12290,14000.0,12.0,"(10g당 1,024원)",5.0,62128,True,최대 615원 적립,https://www.coupang.com/vp/products/5498533952?itemId=22783302848&vendorItemId=85023806746&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/527489775197490-26513bca-ddaf-4efc-9be8-1aad25754157.jpg
5,"아이클리어 루테인지아잔틴, 30정, 3개",23720,50700.0,53.0,(1정당 264원),5.0,153254,True,"최대 1,186원 적립",https://www.coupang.com/vp/products/8198215947?itemId=20973535485&vendorItemId=77582829254&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0365/b911cb2fa216640df6e7d7cbd9f5ef5f8ce2f6e3ba2b8a5d958d26f3224c.jpg
6,"종근당건강 프로메가 오메가3 트리플 장용성, 60정, 2개",21030,39900.0,47.0,(1정당 175원),5.0,96765,True,"최대 1,051원 적립",https://www.coupang.com/vp/products/6586372374?itemId=19081002442&vendorItemId=82081965656&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/112999675782598-f3dfef06-8854-4f84-a06f-9144abde903c.jpg
7,"종근당건강 비타민D 2000IU, 90정, 1개",10550,,,(1정당 117원),5.0,34628,True,최대 501원 적립,https://www.coupang.com/vp/products/5191718214?itemId=7210099322&vendorItemId=4437221243&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/109739332904756-59a90cbf-e98b-4299-8ab7-11684dc32198.png
8,"크리스찬한센 덴마크 유산균 이야기, 30정, 1개",14900,51000.0,70.0,(1정당 497원),5.0,28284,True,최대 745원 적립,https://www.coupang.com/vp/products/6063894601?itemId=19441573413&vendorItemId=81816610559&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/262377150239663-b2e5df1b-958a-4ab2-b547-46d0f0bb4527.jpg
9,"뉴트리코스트 크레아틴 분말, 300g, 1개",21900,29000.0,24.0,(10g당 730원),5.0,7083,True,"최대 1,095원 적립",https://www.coupang.com/vp/products/169544186?itemId=485056937&vendorItemId=4222306695&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/0678/49600e0af8b4df4152e26265128b0d6f510cdb5144b919b0bb7426fa02c6.jpg
10,"덴프스 덴마크 유산균이야기, 30정, 2개",29800,102000.0,70.0,(1정당 497원),5.0,28284,True,"최대 1,490원 적립",https://www.coupang.com/vp/products/6063894601?itemId=18741626520&vendorItemId=85873889893&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/132055294860628-cf15d087-3355-40e1-a076-b3468bcfc6cf.jpg
